FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/07/2021;ES17;1-;405;232;219;147;254;1108;2804;3062;3059;2787;2776;2735
01/07/2021;ES17;1=;2646;2647;2612;2513;2632;2651;2705;2655;2175;1511;1172;1086
01/07/2021;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/07/2021;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/07/2021;ES18;1-;103;40;32;19;30;187;963;1335;1228;977;886;852
01/07/2021;ES18;1=;811;795;655;638;700;771;678;616;471;292;281;246
01/07/2021;ES18;2-;152;64;49;27;34;74;228;511;742;730;797;816
01/07/2021;ES18;2=;946;1260;1126;791;869;1041;1218;972;802;477;388;315
01/07/2021;ES19;1-;214;134;102;75;92;176;487;836;993;871;966;974
01/07/2021;ES19;1=;894;993;904;826;898;946;997;892;680;495;407;321
01/07/2021;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/07/2021;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/07/2021;ES20;1-;6476;0;1349;742;719;647;1294;4219;8235;8933;8536;8373
01/07/2021;ES20;1=;9422;9999;9999;9999;9999;9999;9109;8597;9999;9999;8254;6329
01/07/2021;ES20;2-;5990;0;1065;602;485;763;2558;9948;9999;9465;8875;9003
01/07/2021;ES20;2=;9577;9410;9999;9999;9999;9111;8823;9946;9442;8835;7398;5523
01/07/2021;ES21;1-;136;55;50;29;50;161;486;944;900;848;953;1008
01/07/2021;ES21;1=;1088;1219;940;851;899;997;1116;980;697;451;354;323
01/07/2021;ES21;2-;114;60;45;38;83;302;906;1675;1749;1588;1509;1485
01/07/2021;ES21;2=;1427;1606;1612;1357;1293;1593;1455;1266;909;463;357;302
01/07/2021;ES22;1-;406;217;134;115;104;151;411;1060;1605;1394;1231;1158
01/07/2021;ES22;1=;1103;1143;1146;1017;1026;1044;1021;1039;1045;787;552;521
01/07/2021;ES22;2-;607;371;217;145;135;122;277;532;777;924;997;1128
01/07/2021;ES22;2=;1211;1235;1323;1334;1109;1360;1567;1571;1320;1028;817;717
01/07/2021;ES23;1-;793;543;377;315;204;295;1126;3060;3790;3784;3053;2649
01/07/2021;ES23;1=;2621;2472;2444;2176;2129;2274;2275;2238;2170;1799;1241;1033
01/07/2021;ES23;2-;1480;1008;659;561;356;293;586;974;1580;1728;1932;2272
01/07/2021;ES23;2=;2457;2719;3039;3017;2759;2843;2919;2868;2747;2249;1782;1596
01/07/2021;ES24;1-;196;125;51;48;38;42;97;161;271;348;382;447
01/07/2021;ES24;1=;459;468;498;453;400;420;361;406;431;356;263;228
01/07/2021;ES24;2-;137;84;63;41;48;41;76;195;338;416;343;355
01/07/2021;ES24;2=;338;304;299;300;305;343;287;313;316;265;224;149
01/07/2021;ES25;1-;206;206;182;113;75;73;81;137;142;217;181;225
01/07/2021;ES25;1=;203;231;224;205;181;220;205;221;229;216;193;154
01/07/2021;ES25;2-;0;0;0;0;0;0;0;0;0;0;0;0
