FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12;
01/09/2022;ES01;1-;218;149;85;104;196;506;1656;2222;1810;1412;1596;1537;
01/09/2022;ES01;1=;1639;1931;1519;1352;1424;1652;1549;1585;1624;1160;758;606;
01/09/2022;ES01;2-;231;157;115;97;162;287;663;1056;1217;1009;1065;1169;
01/09/2022;ES01;2=;1128;1239;1279;1080;1130;1370;1241;1088;836;630;574;504;
01/09/2022;ES02;1-;184;150;92;90;69;77;116;311;492;495;554;557;
01/09/2022;ES02;1=;568;519;521;499;450;463;492;517;501;450;375;301;
01/09/2022;ES02;2-;510;355;238;190;163;202;469;1042;1256;1196;1222;1190;
01/09/2022;ES02;2=;1266;1288;1260;1199;1119;1158;1222;1209;1168;1068;856;753;
01/09/2022;ES03;1-;301;192;113;94;98;582;392;1529;2155;1990;1443;1367;
01/09/2022;ES03;1=;1323;1882;1449;1311;1190;1882;1278;1307;1147;1043;636;500;
01/09/2022;ES03;2-;233;117;80;70;60;73;148;325;588;732;790;993;
01/09/2022;ES03;2=;1051;1122;1235;1269;924;1014;1136;1106;1018;786;583;390;
01/09/2022;ES04;1-;345;169;98;73;76;240;257;944;1154;1056;903;835;
01/09/2022;ES04;1=;834;835;874;830;750;815;893;824;805;758;492;428;
01/09/2022;ES04;2-;165;100;48;73;35;54;121;253;403;425;412;487;
01/09/2022;ES04;2=;473;540;753;696;498;558;639;562;519;403;215;182;
01/09/2022;ES05;1-;1295;752;466;345;263;698;679;1187;1555;1715;1938;2156;
01/09/2022;ES05;1=;2398;2671;3124;3345;2569;2768;3261;3085;2564;2103;1778;1555;
01/09/2022;ES05;2-;460;235;167;117;121;268;898;1702;2038;1797;1549;1427;
01/09/2022;ES05;2=;1494;1512;1538;1572;1462;1451;1557;1528;1481;1231;926;655;
01/09/2022;ES06;1-;47;35;20;32;52;183;570;694;593;647;593;675;
01/09/2022;ES06;1=;606;688;702;563;592;867;722;565;427;259;213;158;
01/09/2022;ES06;2-;53;36;33;25;42;164;446;691;598;601;588;650;
01/09/2022;ES06;2=;648;668;697;557;648;645;587;543;412;279;212;164;
01/09/2022;ES07;1-;540;293;151;120;96;157;624;1551;1941;1659;1496;1847;
01/09/2022;ES07;1=;2019;2377;3428;3179;2245;2626;2990;2767;2168;1744;1271;1158;
01/09/2022;ES07;2-;447;207;162;110;162;603;2947;4657;3764;2857;2282;2110;
01/09/2022;ES07;2=;2119;2152;2744;2185;1934;2185;2280;2837;2485;1878;1344;681;
01/09/2022;ES08;1-;421;379;290;246;207;220;379;601;725;758;879;875;
01/09/2022;ES08;1=;930;903;931;901;862;913;918;926;933;845;751;751;
01/09/2022;ES08;2-;474;378;269;233;243;222;342;690;898;920;917;869;
01/09/2022;ES08;2=;984;956;940;950;892;897;958;977;950;875;781;666;
01/09/2022;ES09;1-;374;317;235;184;166;414;378;555;686;797;878;1108;
01/09/2022;ES09;1=;1108;788;930;836;887;854;837;827;864;761;665;581;
01/09/2022;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/09/2022;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/09/2022;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0;
01/09/2022;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0;
01/09/2022;ES10;2-;180;70;83;74;81;149;347;566;540;513;507;535;
01/09/2022;ES10;2=;517;563;584;511;518;604;565;600;586;561;417;291;
01/09/2022;ES11;1-;951;703;195;103;61;122;595;3759;5938;5976;4663;3418;
01/09/2022;ES11;1=;3202;3250;3489;4357;3748;3195;3614;3588;3613;3131;2404;1614;
01/09/2022;ES11;2-;2518;0;431;241;200;201;395;1421;3555;4296;3603;3165;
01/09/2022;ES11;2=;3452;3656;4314;5652;5155;4164;4819;5202;4585;4034;3173;2243;
01/09/2022;ES12;1-;427;299;213;234;328;1070;1722;1347;1644;1727;1847;1644;
01/09/2022;ES12;1=;1649;1262;1546;1800;1782;1453;1642;1836;1718;1200;1101;1028;
01/09/2022;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/09/2022;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/09/2022;ES13;1-;314;218;171;142;225;406;1092;1464;1514;1477;1477;1470;
01/09/2022;ES13;1=;1476;1548;1360;1355;1421;1580;1566;1518;1148;830;791;753;
01/09/2022;ES13;2-;473;268;224;157;212;447;1114;1661;1718;1567;1721;1730;
01/09/2022;ES13;2=;1718;1884;1722;1559;1711;1818;1736;1795;1518;1055;1040;890;
01/09/2022;ES14;1-;29;19;12;10;17;63;171;329;347;316;331;344;
01/09/2022;ES14;1=;314;290;289;267;268;288;266;251;180;127;109;107;
01/09/2022;ES14;2-;25;21;10;10;13;28;72;156;203;231;225;237;
01/09/2022;ES14;2=;274;281;197;212;211;235;220;201;161;90;77;62;
01/09/2022;ES15;1-;51;48;26;20;55;180;665;750;589;575;788;555;
01/09/2022;ES15;1=;621;904;598;508;519;576;804;707;545;346;284;252;
01/09/2022;ES15;2-;35;29;21;19;29;101;422;692;653;530;490;555;
01/09/2022;ES15;2=;511;653;524;445;515;483;481;471;340;199;142;94;
01/09/2022;ES16;1-;271;196;141;96;137;267;887;1260;1172;1221;1362;1401;
01/09/2022;ES16;1=;1496;1532;1407;1287;1421;1554;1532;1291;982;773;734;657;
01/09/2022;ES16;2-;226;139;100;79;120;406;1286;1625;1495;1432;1378;1348;
01/09/2022;ES16;2=;1304;1253;1208;1204;1231;1355;1329;1383;1060;775;653;474;
01/09/2022;ES17;1-;428;251;188;199;350;1328;2789;3108;2948;2703;2773;2596;
01/09/2022;ES17;1=;2616;2506;2511;2436;2691;2741;2603;2642;2165;1471;1122;863;
01/09/2022;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/09/2022;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/09/2022;ES18;1-;61;35;23;19;34;173;860;1166;896;638;653;625;
01/09/2022;ES18;1=;560;544;499;469;536;560;563;493;347;240;208;176;
01/09/2022;ES18;2-;139;58;27;23;29;86;198;410;483;581;605;700;
01/09/2022;ES18;2=;706;927;749;569;677;905;899;832;585;368;315;290;
01/09/2022;ES19;1-;168;118;88;84;97;237;480;733;904;877;871;895;
01/09/2022;ES19;1=;906;892;855;766;787;953;978;874;615;464;507;446;
01/09/2022;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/09/2022;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/09/2022;ES20;1-;5165;2892;1438;846;671;706;1323;4079;7766;9061;7692;7050;
01/09/2022;ES20;1=;7814;8318;9639;9999;9999;9652;9999;9999;9771;8076;6650;5561;
01/09/2022;ES20;2-;6716;0;1067;687;600;849;2609;9599;9616;9007;9999;8647;
01/09/2022;ES20;2=;8605;8621;9265;9999;9825;8483;9193;9771;9131;8211;6841;5147;
01/09/2022;ES21;1-;89;54;21;33;56;133;535;748;703;674;773;784;
01/09/2022;ES21;1=;843;969;813;1056;1166;829;912;784;786;345;313;239;
01/09/2022;ES21;2-;111;59;32;56;99;275;738;1473;1532;1134;1131;1116;
01/09/2022;ES21;2=;1064;1110;907;919;956;1036;1011;928;658;385;320;249;
01/09/2022;ES22;1-;338;197;139;125;91;419;426;981;1387;1185;982;951;
01/09/2022;ES22;1=;937;1025;985;909;793;914;964;931;929;739;594;478;
01/09/2022;ES22;2-;497;308;177;141;93;123;294;555;679;774;835;1020;
01/09/2022;ES22;2=;1021;1083;1196;1168;1027;1013;1149;1326;1080;864;756;627;
01/09/2022;ES23;1-;657;453;310;244;221;1261;1090;2749;2949;3142;2298;2200;
01/09/2022;ES23;1=;2141;2058;2018;1796;1837;1929;2039;1944;1934;1531;1225;1020;
01/09/2022;ES23;2-;1219;826;539;429;317;375;697;1049;1320;1504;1799;1978;
01/09/2022;ES23;2=;2240;2460;2888;3023;2377;2532;2897;2742;2384;1997;1687;1492;
01/09/2022;ES24;1-;204;115;74;79;62;139;88;201;338;459;507;865;
01/09/2022;ES24;1=;919;673;721;623;552;888;612;940;823;435;320;275;
01/09/2022;ES24;2-;178;136;111;103;57;65;135;411;590;557;553;552;
01/09/2022;ES24;2=;564;495;513;456;472;454;455;493;497;336;286;277;
01/09/2022;ES25;1-;96;90;73;72;46;54;90;142;180;230;183;191;
01/09/2022;ES25;1=;215;196;181;191;184;214;191;185;207;186;156;169;
01/09/2022;ES25;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/09/2022;ES25;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/09/2022;ES26;1-;248;118;82;80;71;138;200;253;228;228;331;340;
01/09/2022;ES26;1=;348;336;311;278;373;288;297;293;283;267;233;204;
01/09/2022;ES26;2-;171;117;70;65;55;54;123;200;296;321;397;396;
01/09/2022;ES26;2=;405;401;390;353;343;330;339;330;342;329;265;251;
01/09/2022;ES27;1-;862;596;447;310;348;381;561;1161;1680;1807;1563;1961;
01/09/2022;ES27;1=;2055;2126;1354;1762;1883;1899;1359;2210;2033;1076;1413;1127;
01/09/2022;ES27;2-;346;233;197;204;244;355;654;835;900;889;953;1039;
01/09/2022;ES27;2=;1082;1268;1152;985;1051;1128;1065;991;5866;705;683;655;
01/09/2022;ES28;1-;110;69;44;42;62;245;422;609;567;623;613;688;
01/09/2022;ES28;1=;757;1046;823;693;805;930;838;666;515;383;337;213;
01/09/2022;ES28;2-;87;58;49;54;128;426;1050;1372;1087;823;742;755;
01/09/2022;ES28;2=;780;867;785;721;771;852;733;674;536;402;304;162;
01/09/2022;ES29;1-;859;418;275;244;214;373;1006;1683;2144;2006;1844;1727;
01/09/2022;ES29;1=;1750;1887;2026;1866;1789;1963;2028;1906;1831;1495;1328;1235;
01/09/2022;ES29;2-;884;396;231;179;175;311;794;1419;1859;2012;2006;1999;
01/09/2022;ES29;2=;1842;1878;2102;1963;1922;1858;2209;2217;2057;1609;1477;1262;
01/09/2022;ES30;1-;154;107;78;69;45;113;103;184;466;388;379;375;
01/09/2022;ES30;1=;423;448;404;382;356;441;454;445;375;334;228;209;
01/09/2022;ES30;2-;220;149;105;77;85;106;198;426;750;770;671;588;
01/09/2022;ES30;2=;702;686;670;609;637;624;716;783;721;527;366;334;
01/09/2022;ES31;1-;81;44;43;40;50;36;56;113;167;222;193;321;
01/09/2022;ES31;1=;246;287;392;264;199;214;272;362;289;248;200;139;
01/09/2022;ES31;2-;57;43;31;44;32;30;77;171;370;346;252;232;
01/09/2022;ES31;2=;246;214;230;188;203;247;245;225;204;196;94;81;
01/09/2022;ES32;1-;205;156;108;100;77;235;193;477;641;568;605;587;
01/09/2022;ES32;1=;591;552;506;500;538;554;537;618;544;451;348;387;
01/09/2022;ES32;2-;171;136;81;58;59;72;117;153;265;272;336;382;
01/09/2022;ES32;2=;355;439;455;383;349;347;377;382;335;329;297;237;
01/09/2022;ES33;1-;173;82;80;62;78;147;497;1596;2012;1817;1350;1204;
