FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/12/21;ES17;1=;2664;2570;2478;2565;2739;2275;2449;2695;1803;1278;887;535
01/12/21;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/12/21;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/12/21;ES18;1-;60;39;22;23;33;278;1343;1285;1144;905;877;781
01/12/21;ES18;1=;893;720;705;705;729;680;681;558;327;187;197;135
01/12/21;ES18;2-;85;49;14;21;31;74;278;511;680;718;790;981
01/12/21;ES18;2=;1071;1230;957;775;1064;1301;1423;1123;721;373;393;208
01/12/21;ES19;1-;168;112;64;66;100;242;538;972;1139;919;1069;1076
01/12/21;ES19;1=;1048;1120;1031;978;1035;1128;1169;1049;718;465;469;261
01/12/21;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/12/21;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/12/21;ES20;1-;3099;2132;997;628;514;624;1326;4276;8694;9835;8965;8097
01/12/21;ES20;1=;8558;9398;9999;9999;9999;9999;9999;9999;9999;9999;8157;5647
01/12/21;ES20;2-;2366;1225;719;452;467;787;2642;9999;8874;8859;9999;9999
01/12/21;ES20;2=;9922;9875;9999;9999;9999;9999;9999;9492;9771;8862;7053;4768
01/12/21;ES21;1-;69;49;24;26;44;180;825;1523;1158;867;922;1021
01/12/21;ES21;1=;1107;1250;1028;1140;1136;1150;1231;1271;704;456;549;201
01/12/21;ES21;2-;74;34;17;29;67;286;991;2042;2121;1603;1555;1548
01/12/21;ES21;2=;1631;1630;1547;1606;1707;1964;1986;1752;877;421;397;222
01/12/21;ES22;1-;185;160;103;83;83;436;1231;1455;1686;1442;1228;1239
01/12/21;ES22;1=;1105;1181;1063;1079;1156;1120;1179;1080;1151;780;532;429
01/12/21;ES22;2-;422;238;169;126;92;303;749;649;1060;1058;1008;1129
01/12/21;ES22;2=;1133;1279;1518;1384;1280;1415;1426;1412;1409;1061;758;673
01/12/21;ES23;1-;444;439;278;234;219;1375;3273;3658;3750;3654;3197;2873
01/12/21;ES23;1=;2658;2515;2472;2200;2317;2451;2339;2347;2391;1727;1222;958
01/12/21;ES23;2-;1259;789;529;449;331;328;705;1134;1653;1879;1976;2420
01/12/21;ES23;2=;2505;2457;2905;3034;2813;2884;2679;2362;2723;2396;1731;2171
01/12/21;ES24;1-;171;91;74;41;40;49;99;211;418;548;470;576
01/12/21;ES24;1=;650;742;775;729;650;705;694;710;702;509;318;242
01/12/21;ES24;2-;123;86;61;31;44;283;1037;539;921;748;550;596
01/12/21;ES24;2=;554;546;609;505;539;550;498;498;476;342;204;208
01/12/21;ES25;1-;114;81;71;56;52;76;87;144;150;175;196;214
01/12/21;ES25;1=;186;188;192;173;190;170;159;124;172;178;130;111
01/12/21;ES25;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/12/21;ES25;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/12/21;ES26;1-;167;141;124;69;62;65;195;281;317;280;322;374
01/12/21;ES26;1=;343;372;339;314;279;301;315;294;327;288;241;210
01/12/21;ES26;2-;179;82;62;65;45;56;103;200;299;350;367;388
01/12/21;ES26;2=;363;337;381;354;301;328;328;314;322;337;291;232
01/12/21;ES27;1-;459;270;190;181;287;323;603;1448;2094;2482;2014;1908
01/12/21;ES27;1=;1517;1455;2226;1908;1956;1788;1614;1353;1396;1285;1303;1213
01/12/21;ES27;2-;402;232;194;197;268;392;795;1074;1033;1176;1307;1621
01/12/21;ES27;2=;1216;1633;1315;1240;1320;1394;1346;1241;1181;879;850;655
01/12/21;ES28;1-;73;39;41;46;84;243;557;749;744;680;730;764
01/12/21;ES28;1=;1008;1062;877;896;1128;1176;1073;821;557;369;294;183
01/12/21;ES28;2-;98;67;40;57;136;453;1339;1550;1457;994;952;922
01/12/21;ES28;2=;918;995;884;1037;995;982;1036;858;565;351;287;194
01/12/21;ES29;1-;588;326;196;173;413;1055;2142;2383;2350;2192;2183;2106
01/12/21;ES29;1=;2204;1778;2157;2172;2267;2261;2193;2114;1878;1030;859;815
01/12/21;ES29;2-;363;312;214;175;183;262;835;1767;2197;2356;2185;2133
01/12/21;ES29;2=;2126;1842;2229;2263;2252;2306;2045;2116;2088;1717;1337;958
01/12/21;ES30;1-;135;78;40;44;42;70;278;475;416;435;381;415
01/12/21;ES30;1=;465;473;536;444;429;501;529;560;494;378;241;196
01/12/21;ES30;2-;202;102;72;54;75;274;920;828;1302;982;873;858
01/12/21;ES30;2=;838;806;860;760;864;930;784;862;774;637;386;333
01/12/21;ES31;1-;88;43;46;34;25;44;72;146;323;357;235;277
01/12/21;ES31;1=;311;413;551;373;307;384;377;362;353;334;175;114
01/12/21;ES31;2-;60;36;22;30;16;30;93;238;655;657;316;334
01/12/21;ES31;2=;259;306;300;393;324;334;346;410;316;165;83;77
01/12/21;ES32;1-;155;112;86;57;48;81;188;583;790;758;678;667
01/12/21;ES32;1=;701;669;669;616;673;705;651;664;620;439;307;259
01/12/21;ES32;2-;177;112;67;51;39;55;94;346;298;361;376;421
01/12/21;ES32;2=;483;503;544;426;443;510;430;467;428;373;272;252
01/12/21;ES33;1-;174;95;65;53;66;144;561;1611;1599;1814;1738;1457
01/12/21;ES33;1=;1491;1672;1845;1704;1570;1597;1628;1398;1686;1167;665;440
01/12/21;ES33;2-;151;77;47;33;31;48;185;655;1282;1115;807;754
01/12/21;ES33;2=;811;928;1348;1249;1159;1172;1405;1146;1191;705;404;405
01/12/21;ES34;1-;128;116;106;77;76;81;326;272;469;514;570;418
01/12/21;ES34;1=;470;409;361;289;364;349;298;302;254;293;260;237
01/12/21;ES34;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/12/21;ES34;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/12/21;ES36;1-;249;129;113;54;99;439;1406;2206;1918;1475;1425;1645
01/12/21;ES36;1=;1850;1863;1759;1609;1684;2068;2128;1806;1336;1055;1313;685
01/12/21;ES36;2-;134;78;67;65;135;474;1814;2336;2165;2325;2219;2171
01/12/21;ES36;2=;2089;1939;2031;2159;2128;1697;1471;1699;1165;830;925;434
01/12/21;ES37;1-;146;87;52;46;127;387;1294;2146;1842;1501;1641;1853
01/12/21;ES37;1=;2011;2205;1979;2030;2141;1969;1822;1818;1241;742;662;507
01/12/21;ES37;2-;114;43;49;64;194;752;1840;2694;2552;2220;2054;2040
01/12/21;ES37;2=;2219;2240;2045;2197;2239;2259;2254;2029;986;630;486;257
01/12/21;ES38;1-;57;29;19;6;7;17;120;339;855;622;414;509
01/12/21;ES38;1=;559;610;788;648;710;745;759;727;533;382;215;153
01/12/21;ES38;2-;42;17;13;7;10;44;218;734;1008;599;394;410
01/12/21;ES38;2=;486;462;613;437;557;564;544;452;357;248;138;112
01/12/21;ES39;1-;376;231;108;41;31;58;131;1241;3247;3995;2409;1815
01/12/21;ES39;1=;1925;1982;2296;2849;46;2068;1909;2023;1894;2224;1402;842
01/12/21;ES39;2-;495;286;79;52;28;65;102;514;1821;2210;1722;277
01/12/21;ES39;2=;2235;2281;2599;87;2886;2548;2784;2917;2969;2314;1372;758
01/12/21;ES40;1-;95;57;55;65;127;343;2133;2632;2335;2032;2123;2198
01/12/21;ES40;1=;2309;2385;2169;2200;2253;2275;2194;2137;1624;917;488;277
01/12/21;ES40;2-;143;69;62;61;171;527;1492;1806;1674;1462;1480;1637
01/12/21;ES40;2=;1597;2032;1688;1562;1834;2006;1821;1651;1155;823;1107;452
01/12/21;ES41;1-;129;108;104;99;171;414;1014;1410;1068;1002;1111;1147
01/12/21;ES41;1=;1180;1102;1005;947;953;1034;1091;1068;762;518;477;289
01/12/21;ES41;2-;115;66;47;52;109;252;635;984;1193;1024;977;1044
01/12/21;ES41;2=;1068;1250;1144;1005;1172;1281;1351;1228;658;436;340;218
01/12/21;ES42;1-;68;48;38;44;83;233;624;1134;901;796;754;822
01/12/21;ES42;1=;829;836;729;752;838;879;728;803;485;366;463;246
01/12/21;ES42;2-;87;71;40;33;46;188;566;1002;1058;924;958;864
01/12/21;ES42;2=;941;972;799;827;892;878;933;841;703;429;380;180
01/12/21;ES43;1-;144;75;139;50;73;146;401;949;1192;893;643;650
01/12/21;ES43;1=;612;649;644;625;652;690;647;671;556;412;378;175
01/12/21;ES43;2-;175;72;53;45;31;53;123;369;586;505;416;462
01/12/21;ES43;2=;576;635;709;829;912;791;652;704;618;464;324;250
01/12/21;ES44;1-;298;157;111;93;177;525;1118;1716;1929;1963;2264;2272
01/12/21;ES44;1=;2011;2192;2126;2044;2075;1907;1923;1923;1371;873;972;634
01/12/21;ES44;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/12/21;ES44;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/12/21;ES45;1-;436;200;118;109;182;661;1988;2356;2174;1881;1907;1622
01/12/21;ES45;1=;2015;2156;1901;1990;1957;2130;2177;2030;1514;1062;972;866
01/12/21;ES45;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/12/21;ES45;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/12/21;ES46;1-;69;62;67;72;215;536;839;853;862;732;829;890
01/12/21;ES46;1=;882;1041;872;895;1038;912;968;860;571;400;222;147
01/12/21;ES46;2-;79;54;51;59;125;355;665;972;974;872;829;873
01/12/21;ES46;2=;834;966;906;968;921;991;972;756;612;425;282;146
01/12/21;ES47;1-;130;74;68;70;98;361;625;764;768;772;818;789
01/12/21;ES47;1=;894;810;834;854;802;788;736;742;670;512;376;264
01/12/21;ES47;2-;142;95;68;75;148;356;549;784;772;769;811;776
01/12/21;ES47;2=;801;790;750;796;714;683;776;678;550;404;350;225
01/12/21;ES48;1-;69;42;38;32;163;1122;2424;2429;1984;1091;970;935
01/12/21;ES48;1=;949;1100;975;972;970;937;839;745;553;393;242;159
01/12/21;ES48;2-;70;52;49;55;124;285;479;767;821;692;780;853
01/12/21;ES48;2=;966;1300;1121;1104;1335;1465;1239;872;600;424;233;123
01/12/21;ES49;1-;75;57;29;41;57;357;1167;1021;928;755;747;769
01/12/21;ES49;1=;892;758;704;685;674;652;597;600;461;321;360;227
01/12/21;ES49;2-;86;44;41;29;21;29;78;202;433;533;551;518
01/12/21;ES49;2=;515;531;660;750;601;723;703;679;585;345;179;141
01/12/21;ES50;1-;110;67;45;29;26;70;73;173;440;453;322;478
01/12/21;ES50;1=;495;363;396;331;335;390;537;515;321;307;212;189
01/12/21;ES50;2-;99;64;39;46;43;36;78;267;641;638;588;560
01/12/21;ES50;2=;585;487;525;448;445;488;497;563;600;332;227;187
01/12/21;ES51;1-;94;47;34;37;42;123;258;491;450;644;554;550
01/12/21;ES51;1=;532;571;614;487;479;589;613;717;584;360;236;141
01/12/21;ES51;2-;56;40;35;29;41;39;74;233;526;517;656;695
01/12/21;ES51;2=;744;500;417;670;740;722;684;409;360;306;131;105
01/12/21;ES52;1-;58;43;27;29;25;50;369;775;883;915;659;584
01/12/21;ES52;1=;658;697;710;710;733;725;665;773;771;311;186;202
01/12/21;ES52;2-;69;43;20;24;27;50;400;354;733;341;342;326
01/12/21;ES52;2=;348;396;490;401;342;507;534;492;424;229;135;123
01/12/21;ES53;1-;79;69;45;36;26;35;76;144;226;226;177;253
01/12/21;ES53;1=;283;286;273;241;296;283;283;291;252;225;145;132
01/12/21;ES53;2-;134;107;91;54;65;120;355;483;415;466;401;426
01/12/21;ES53;2=;458;470;489;462;484;528;461;441;485;378;287;193
01/12/21;ES54;1-;61;37;41;16;17;46;140;270;282;295;211;258
01/12/21;ES54;1=;278;265;317;266;249;300;286;293;251;201;131;114
01/12/21;ES54;2-;100;41;44;21;18;34;66;194;308;336;277;281
01/12/21;ES54;2=;320;334;424;326;315;360;347;373;371;284;215;152
01/12/21;ES55;1-;43;29;14;11;11;35;90;194;281;280;222;260
01/12/21;ES55;1=;315;290;290;292;330;358;346;308;246;163;128;79
01/12/21;ES55;2-;23;14;11;13;15;34;116;146;225;227;164;217
01/12/21;ES55;2=;230;235;226;219;222;232;307;249;209;150;100;62
01/12/21;ES56;1-;34;19;15;18;49;119;429;574;527;335;361;414
01/12/21;ES56;1=;400;608;596;596;648;770;635;420;223;148;120;63
01/12/21;ES56;2-;36;22;28;13;73;363;898;1535;829;463;361;389
01/12/21;ES56;2=;488;526;469;446;474;425;445;392;248;204;84;81
01/12/21;ES57;1-;19;19;27;15;70;173;548;1005;822;520;514;555
01/12/21;ES57;1=;689;761;665;814;876;710;653;652;459;339;236;106
01/12/21;ES57;2-;24;9;11;20;35;152;466;1051;790;601;542;623
01/12/21;ES57;2=;615;757;661;776;874;910;884;613;345;204;139;64
01/12/21;ES58;1-;37;16;10;15;36;132;287;580;392;296;337;370
01/12/21;ES58;1=;361;450;420;472;531;615;523;325;225;154;108;55
01/12/21;ES58;2-;19;11;6;14;18;63;196;389;374;199;252;264
01/12/21;ES58;2=;257;304;267;313;417;358;311;268;193;119;100;37
01/12/21;ES59;1-;28;15;13;8;41;114;191;218;266;249;187;233
01/12/21;ES59;1=;304;259;250;256;227;342;219;280;178;140;88;64
01/12/21;ES59;2-;10;16;9;15;41;136;177;228;247;211;196;201
01/12/21;ES59;2=;230;214;219;252;259;256;254;197;129;104;58;37
01/12/21;ES60;1-;37;35;26;22;47;179;809;962;693;565;548;538
01/12/21;ES60;1=;481;504;465;542;635;541;537;398;275;141;129;80
01/12/21;ES60;2-;41;25;21;14;29;97;294;618;521;442;499;510
01/12/21;ES60;2=;590;671;621;590;671;652;640;823;605;365;172;161
02/12/21;ES01;1-;285;167;135;92;165;792;2057;2151;2093;1938;1876;2057
02/12/21;ES01;1=;2145;2170;1874;2042;2015;2110;2169;2219;1657;1004;1012;960
02/12/21;ES01;2-;280;183;107;89;160;322;863;1455;1677;1330;1350;1492
02/12/21;ES01;2=;1511;1246;1338;1536;1342;1435;1412;1413;1010;813;674;609
02/12/21;ES02;1-;328;221;138;110;90;270;707;1040;1151;1126;1105;1107
02/12/21;ES02;1=;1079;1078;1002;985;1038;1051;1013;1042;1016;828;663;405
02/12/21;ES02;2-;357;221;144;187;152;577;1199;1303;1366;1342;1245;1222
02/12/21;ES02;2=;1220;1146;1187;1214;1077;1083;1013;1004;1041;1074;879;775
02/12/21;ES03;1-;283;162;132;98;95;697;2294;2465;2754;2498;1997;1797
02/12/21;ES03;1=;1774;1714;1881;1709;1809;2315;2058;1892;1913;1391;823;544
02/12/21;ES03;2-;260;132;84;48;56;163;505;1025;851;911;1154;1340
02/12/21;ES03;2=;1432;1584;1776;1723;1419;1475;1602;1677;1510;1151;658;627
02/12/21;ES04;1-;130;72;56;45;63;263;1029;1179;1204;1178;930;871
02/12/21;ES04;1=;933;860;959;971;913;970;801;1032;1049;587;539;398
02/12/21;ES04;2-;155;111;59;42;56;143;455;825;714;666;628;741
02/12/21;ES04;2=;758;776;989;873;782;853;927;1002;882;631;382;368
02/12/21;ES05;1-;990;864;515;335;255;328;700;1791;1892;2015;2171;2455
02/12/21;ES05;1=;2655;2936;3391;3385;3201;3394;3411;3336;3128;2959;2270;1954
02/12/21;ES05;2-;320;106;129;110;276;1079;1205;2113;2022;2021;1939;1823
02/12/21;ES05;2=;1777;1737;1775;1676;1787;1875;1755;1740;1629;1364;856;548
02/12/21;ES06;1-;47;24;23;29;61;214;920;1186;960;669;739;789
02/12/21;ES06;1=;794;1005;840;853;1011;1093;1061;707;467;299;206;190
02/12/21;ES06;2-;60;25;31;19;39;158;509;1014;882;632;714;707
02/12/21;ES06;2=;759;949;962;889;1171;1107;1000;825;512;262;199;156
02/12/21;ES07;1-;493;349;272;215;155;217;888;1809;2443;1991;1880;2144
02/12/21;ES07;1=;2557;3087;4136;4130;3085;3196;3047;2874;2921;2637;1946;1284
02/12/21;ES07;2-;417;270;237;120;236;601;2759;4981;4113;3774;2208;2085
02/12/21;ES07;2=;1986;2290;2652;2375;2059;2105;2224;2191;2409;2008;1195;851
02/12/21;ES08;1-;546;538;376;254;215;257;422;590;732;858;867;909
02/12/21;ES08;1=;828;743;673;706;653;888;824;886;912;615;607;744
02/12/21;ES08;2-;638;513;356;245;254;287;375;699;979;936;954;955
02/12/21;ES08;2=;978;888;990;840;924;871;844;811;794;861;944;808
02/12/21;ES09;1-;483;435;319;237;219;263;368;543;745;901;912;862
02/12/21;ES09;1=;920;1013;695;908;852;888;874;778;803;885;736;638
02/12/21;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0
02/12/21;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0
02/12/21;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0
02/12/21;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0
02/12/21;ES10;2-;165;82;66;70;79;184;421;632;689;653;619;631
02/12/21;ES10;2=;619;523;705;595;591;623;679;532;635;545;409;272
02/12/21;ES11;1-;921;564;195;77;77;120;613;4859;6402;6223;5677;4897
02/12/21;ES11;1=;3986;3901;4383;5479;4589;4481;4644;4912;4420;3771;2815;1588
02/12/21;ES11;2-;1509;739;284;147;128;134;379;1608;3875;4764;3912;3544
02/12/21;ES11;2=;3898;4404;5255;5532;5694;5421;5406;5387;5345;4805;3739;2384
02/12/21;ES12;1-;443;263;244;211;383;1238;1749;1577;1785;1800;1697;1558
02/12/21;ES12;1=;1499;1208;1064;1748;1461;779;827;808;1446;1555;1424;1209
02/12/21;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0
02/12/21;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0
02/12/21;ES13;1-;317;167;140;115;178;446;1289;1530;1581;1472;1350;1420
02/12/21;ES13;1=;1515;1563;1313;1400;1453;1476;1507;1598;1343;1017;928;785
02/12/21;ES13;2-;465;302;221;147;192;494;1288;1726;1816;1800;1657;1694
02/12/21;ES13;2=;1894;1849;1747;1711;1766;1791;1664;1676;1656;1118;967;899
02/12/21;ES14;1-;38;25;14;13;26;64;223;536;511;432;394;447
02/12/21;ES14;1=;381;345;333;393;354;349;325;362;261;200;164;109
02/12/21;ES14;2-;24;26;14;6;20;59;106;266;274;288;288;335
02/12/21;ES14;2=;313;332;314;290;325;323;375;274;252;151;100;82
02/12/21;ES15;1-;60;35;18;31;60;251;963;1201;960;788;731;811
02/12/21;ES15;1=;807;1026;883;866;845;972;965;777;555;340;314;193
02/12/21;ES15;2-;42;22;29;16;39;136;675;1075;1060;833;723;831
02/12/21;ES15;2=;850;944;760;779;872;1032;776;690;455;243;163;110
02/12/21;ES16;1-;331;195;132;96;131;353;1129;1388;1353;1252;1581;1670
02/12/21;ES16;1=;1383;1492;1554;1452;1524;1535;1434;1591;1374;1021;991;874
02/12/21;ES16;2-;222;124;85;82;140;559;1565;1571;1582;1486;1413;1428
02/12/21;ES16;2=;1494;1355;1337;1407;1495;1468;1393;1406;1171;735;609;471
02/12/21;ES17;1-;255;155;152;151;302;1503;3005;3274;3015;2785;2525;2817
02/12/21;ES17;1=;2711;2644;2544;2795;2733;2448;2391;2728;2146;1421;1095;735
02/12/21;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0
02/12/21;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0
