FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12;
01/09/2023;ES15;1-;157;124;38;76;99;190;675;732;652;583;657;648;
01/09/2023;ES15;1=;633;816;654;538;556;545;437;442;538;347;300;171;
01/09/2023;ES15;2-;39;26;14;13;27;85;334;528;499;445;504;516;
01/09/2023;ES15;2=;579;700;513;385;381;399;423;414;332;199;139;121;
01/09/2023;ES16;1-;362;271;217;213;180;305;744;911;1081;1097;1239;1318;
01/09/2023;ES16;1=;1419;1454;1429;1283;1332;1274;1236;1228;1072;772;780;798;
01/09/2023;ES16;2-;209;147;119;118;154;341;1076;1441;1332;1244;1215;1258;
01/09/2023;ES16;2=;1251;1257;1094;1018;1090;1105;1148;1211;1133;746;569;486;
01/09/2023;ES17;1-;499;340;224;216;309;968;2420;2730;2561;2343;2341;2530;
01/09/2023;ES17;1=;2745;2546;2340;2142;2513;2401;2448;2371;2103;1410;1147;1067;
01/09/2023;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/09/2023;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/09/2023;ES18;1-;145;66;54;44;34;178;738;796;693;600;597;572;
01/09/2023;ES18;1=;558;542;431;428;439;463;441;498;407;259;197;184;
01/09/2023;ES18;2-;191;98;66;55;48;83;221;398;523;557;627;691;
01/09/2023;ES18;2=;757;1103;1083;614;630;613;724;766;613;522;411;423;
01/09/2023;ES19;1-;206;160;127;109;141;252;466;680;783;775;860;801;
01/09/2023;ES19;1=;777;893;820;714;763;795;790;789;636;482;466;406;
01/09/2023;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/09/2023;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/09/2023;ES20;1-;7991;3119;1401;909;702;749;1267;3410;6921;8500;6460;6219;
01/09/2023;ES20;1=;8192;9195;9700;9693;9342;9166;9450;9615;9422;9463;8433;6139;
01/09/2023;ES20;2-;7589;0;1280;758;583;992;2604;8971;9999;9999;9618;8295;
01/09/2023;ES20;2=;8219;8644;9565;9999;9869;8509;8844;9001;8635;8359;7152;5315;
01/09/2023;ES21;1-;131;72;50;44;66;136;387;591;641;685;707;733;
01/09/2023;ES21;1=;845;972;767;641;676;709;638;664;714;337;280;253;
01/09/2023;ES21;2-;126;80;56;70;75;291;761;1290;1260;1131;1173;1081;
01/09/2023;ES21;2=;1148;1567;1145;799;941;926;932;927;718;423;278;301;
01/09/2023;ES22;1-;395;251;146;117;119;389;386;758;1097;969;929;982;
01/09/2023;ES22;1=;949;974;1019;967;821;889;832;841;919;787;585;525;
01/09/2023;ES22;2-;461;361;192;142;121;138;280;433;732;779;900;991;
01/09/2023;ES22;2=;1028;1092;1211;1300;1040;999;1003;956;958;911;795;609;
01/09/2023;ES23;1-;822;625;438;347;326;1308;1207;2484;2909;2674;2264;2237;
01/09/2023;ES23;1=;2135;2052;2217;1793;1624;1949;1957;2058;2079;1984;1501;1241;
01/09/2023;ES23;2-;987;785;563;1382;2447;2622;2891;2288;2838;2276;1905;2361;
01/09/2023;ES23;2=;2030;2532;2040;2254;1937;2961;2349;2200;2167;2301;2038;1745;
01/09/2023;ES24;1-;233;153;94;84;65;72;91;198;334;697;555;908;
01/09/2023;ES24;1=;978;665;727;691;528;547;825;829;519;481;407;367;
01/09/2023;ES24;2-;162;146;93;79;76;74;129;359;524;575;505;557;
01/09/2023;ES24;2=;594;510;507;406;481;466;435;434;456;422;351;268;
01/09/2023;ES25;1-;155;92;106;95;66;67;90;152;149;211;196;203;
01/09/2023;ES25;1=;198;175;182;177;168;178;182;182;200;182;181;169;
01/09/2023;ES25;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/09/2023;ES25;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/09/2023;ES26;1-;277;215;178;87;85;156;227;159;299;348;340;344;
01/09/2023;ES26;1=;347;306;313;305;294;282;276;277;323;312;299;282;
01/09/2023;ES26;2-;171;140;102;95;92;76;112;215;316;399;445;424;
01/09/2023;ES26;2=;422;376;391;359;355;345;351;357;344;330;342;282;
01/09/2023;ES27;1-;1017;534;583;403;375;495;735;1042;1673;1956;1807;1793;
01/09/2023;ES27;1=;1826;1847;1844;1979;1742;1755;1782;1864;1887;1246;990;1319;
01/09/2023;ES27;2-;451;328;279;287;394;502;723;914;1000;997;1100;1196;
01/09/2023;ES27;2=;1192;1399;1174;1024;1073;1045;1150;1149;1195;954;880;951;
01/09/2023;ES28;1-;93;85;45;45;110;195;350;586;592;581;613;622;
01/09/2023;ES28;1=;784;1079;815;643;641;627;541;519;413;311;321;257;
01/09/2023;ES28;2-;108;63;57;60;154;354;845;1015;891;698;681;709;
01/09/2023;ES28;2=;757;853;775;779;662;719;737;693;546;422;352;258;
01/09/2023;ES29;1-;1303;630;361;314;287;521;1143;1773;2253;2154;2024;2126;
01/09/2023;ES29;1=;2212;2144;2182;2194;2064;2005;2094;1950;2079;1881;1481;1571;
01/09/2023;ES29;2-;1195;628;425;288;235;408;1061;1484;1917;1970;2020;1998;
01/09/2023;ES29;2=;2010;2122;2092;2101;2006;2044;1986;1997;1945;1879;1706;1515;
01/09/2023;ES30;1-;181;109;84;64;54;110;90;180;282;364;393;424;
01/09/2023;ES30;1=;438;449;452;396;364;413;386;377;351;300;265;239;
01/09/2023;ES30;2-;209;156;115;116;77;87;187;418;661;792;669;702;
01/09/2023;ES30;2=;617;686;646;611;620;596;628;607;644;553;391;332;
01/09/2023;ES31;1-;77;48;38;40;36;40;59;110;165;218;180;250;
01/09/2023;ES31;1=;237;332;400;474;207;243;244;351;370;216;123;87;
01/09/2023;ES31;2-;69;43;36;29;37;28;71;143;300;321;259;250;
01/09/2023;ES31;2=;226;231;260;203;183;210;220;227;255;226;116;70;
01/09/2023;ES32;1-;246;183;121;96;89;234;180;450;595;621;589;566;
01/09/2023;ES32;1=;586;556;516;467;514;519;504;533;583;473;383;327;
01/09/2023;ES32;2-;190;135;84;77;58;60;103;151;280;291;307;337;
01/09/2023;ES32;2=;374;423;455;388;322;370;380;306;369;367;326;279;
01/09/2023;ES33;1-;281;117;77;80;71;161;507;1334;1697;1449;1046;1109;
01/09/2023;ES33;1=;1104;1256;1489;1299;1111;1180;1301;1253;1301;1044;727;528;
01/09/2023;ES33;2-;222;95;67;43;40;57;160;422;730;639;526;590;
01/09/2023;ES33;2=;618;770;1094;1265;851;872;796;751;694;552;366;261;
01/09/2023;ES34;1-;121;121;196;102;73;207;298;289;399;430;480;416;
