FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/10/2021;ES17;1-;0;419;311;258;415;1310;2891;3091;2908;2710;2851;2556
01/10/2021;ES17;1=;2664;2765;2447;2509;2768;2890;2781;2691;2634;1808;1431;1309
01/10/2021;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/10/2021;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/10/2021;ES18;1-;127;85;51;37;45;216;1177;1375;1111;764;786;744
01/10/2021;ES18;1=;694;737;670;673;700;701;731;636;511;360;292;332
01/10/2021;ES18;2-;217;89;80;52;57;86;261;561;609;653;769;854
01/10/2021;ES18;2=;965;1601;1593;1066;998;1031;918;907;821;574;416;446
01/10/2021;ES19;1-;235;167;125;119;144;264;520;906;984;942;983;1043
01/10/2021;ES19;1=;948;1163;1249;1038;992;1040;1005;1033;932;730;532;466
01/10/2021;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/10/2021;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/10/2021;ES20;1-;3177;2578;1575;959;771;789;1417;4116;8416;9349;8439;8103
01/10/2021;ES20;1=;8800;9819;9999;9999;9999;9999;9376;9999;9999;9574;8079;6509
01/10/2021;ES20;2-;133;1707;1152;624;567;819;2721;9999;8200;8712;9999;9570
01/10/2021;ES20;2=;9826;9999;9999;9999;9999;9999;9999;9999;9999;9836;7717;4782
01/10/2021;ES21;1-;152;86;59;45;63;154;695;1375;971;842;967;967
01/10/2021;ES21;1=;1160;1217;1242;1038;1012;996;990;945;769;457;374;394
01/10/2021;ES21;2-;165;83;55;48;81;306;954;1920;1834;1321;1352;1347
01/10/2021;ES21;2=;1332;1807;1711;1466;1592;1471;1395;1376;1341;556;394;413
01/10/2021;ES22;1-;227;144;102;142;130;171;1239;1209;1789;1485;1206;1187
01/10/2021;ES22;1=;1178;1221;1293;1236;1150;1139;1236;1153;1289;1087;701;731
01/10/2021;ES22;2-;387;262;258;135;157;156;719;588;879;1038;1002;1125
01/10/2021;ES22;2=;1237;1300;1495;1669;1500;1731;1584;1489;1483;1397;1013;789
01/10/2021;ES23;1-;587;423;320;413;355;1451;3262;3350;3615;3386;2993;2674
01/10/2021;ES23;1=;2736;2552;2600;2376;2067;2333;2259;2511;2445;2430;1938;1258
01/10/2021;ES23;2-;1743;864;890;688;563;506;779;1146;1539;1743;2026;2331
01/10/2021;ES23;2=;2529;3079;2819;2842;2676;2708;2696;2747;2682;2680;2180;2003
01/10/2021;ES24;1-;257;165;97;67;62;52;95;186;647;722;776;854
01/10/2021;ES24;1=;946;627;668;976;928;502;484;515;559;525;418;371
01/10/2021;ES24;2-;137;145;77;53;55;308;977;1011;971;808;774;777
01/10/2021;ES24;2=;728;757;702;730;725;737;764;413;702;364;268;238
01/10/2021;ES25;1-;125;136;98;98;66;73;99;128;178;194;219;192
01/10/2021;ES25;1=;219;240;194;174;196;187;222;194;190;215;231;198
