FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/02/2021;ES17;1=;2221;2390;2321;2287;2296;2224;1991;1736;1394;442;125;86
01/02/2021;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2021;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2021;ES18;1-;26;14;12;10;34;233;954;1138;1008;772;717;690
01/02/2021;ES18;1=;563;602;629;708;604;585;490;369;255;103;33;17
01/02/2021;ES18;2-;17;15;3;10;15;57;262;584;591;618;686;751
01/02/2021;ES18;2=;862;1038;750;630;765;832;851;678;438;141;42;18
01/02/2021;ES19;1-;35;21;24;28;57;224;470;852;1020;848;838;863
01/02/2021;ES19;1=;851;925;817;808;812;866;754;650;490;215;92;46
01/02/2021;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2021;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2021;ES20;1-;678;318;189;216;193;250;679;2619;6215;7842;7278;5875
01/02/2021;ES20;1=;6147;6791;7949;9999;9739;7994;9078;9771;7670;6662;5755;2318
01/02/2021;ES20;2-;1865;0;172;155;227;500;2074;8905;9999;9968;9999;8900
01/02/2021;ES20;2=;8557;8432;8919;9999;9981;8823;8442;8672;7255;6349;5530;1984
01/02/2021;ES21;1-;16;19;12;8;43;132;443;1215;936;778;844;943
01/02/2021;ES21;1=;978;1181;895;907;984;929;977;751;476;142;46;19
01/02/2021;ES21;2-;14;12;16;15;74;258;793;1794;1692;1272;1310;1240
01/02/2021;ES21;2=;1210;1310;1133;1443;1351;1248;1026;701;470;138;52;14
01/02/2021;ES22;1-;79;62;66;59;50;103;353;968;1523;1302;1117;983
01/02/2021;ES22;1=;1031;968;980;889;903;922;889;845;716;629;296;140
01/02/2021;ES22;2-;107;55;76;67;55;84;224;480;797;978;812;994
01/02/2021;ES22;2=;1093;1056;1327;1241;981;1105;1136;1166;1008;823;461;187
01/02/2021;ES23;1-;138;145;130;110;109;227;1046;2823;3082;3414;2515;2281
01/02/2021;ES23;1=;2085;2045;2035;1934;1846;1785;1704;1520;1212;967;577;262
01/02/2021;ES23;2-;224;165;133;142;111;171;400;857;1283;1666;1707;1940
01/02/2021;ES23;2=;2183;2435;2525;2681;2108;2357;2637;2486;2177;1886;1065;495
01/02/2021;ES24;1-;37;46;38;32;24;53;103;216;459;498;488;532
01/02/2021;ES24;1=;550;534;619;586;479;502;488;438;395;356;185;85
01/02/2021;ES24;2-;56;46;34;49;24;67;164;325;636;608;567;549
01/02/2021;ES24;2=;507;471;492;485;418;466;449;415;355;293;149;109
01/02/2021;ES25;1-;26;24;26;21;26;31;44;74;153;178;201;203
01/02/2021;ES25;1=;185;180;186;166;187;164;161;172;183;154;105;43
