FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/01/2021;ES18;1=;364;333;167;207;216;325;352;259;180;127;112;47
01/01/2021;ES18;2-;399;72;25;12;14;26;43;51;70;84;187;300
01/01/2021;ES18;2=;395;374;224;242;305;397;428;395;308;160;176;61
01/01/2021;ES19;1-;457;171;58;64;49;81;80;95;86;127;207;305
01/01/2021;ES19;1=;445;412;246;271;352;496;475;426;313;229;202;132
01/01/2021;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2021;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2021;ES20;1-;4009;0;4920;594;220;177;226;813;1055;892;812;1073
01/01/2021;ES20;1=;1956;3129;4806;4602;2584;2922;4094;5239;4895;3802;2985;2466
01/01/2021;ES20;2-;4915;0;6085;540;263;233;421;1737;1712;1099;1124;1578
01/01/2021;ES20;2=;2621;4293;6602;6047;2939;3398;4976;6681;6478;5159;4005;2739
01/01/2021;ES21;1-;554;53;22;20;19;52;52;52;85;108;196;312
01/01/2021;ES21;1=;445;466;215;288;316;413;450;434;325;203;194;94
01/01/2021;ES21;2-;602;75;29;18;32;86;83;83;107;133;274;372
01/01/2021;ES21;2=;623;607;252;285;435;621;622;514;343;206;178;77
01/01/2021;ES22;1-;249;754;206;80;73;72;92;148;121;128;177;239
01/01/2021;ES22;1=;360;536;581;366;315;426;652;0;644;496;365;258
01/01/2021;ES22;2-;271;952;281;114;88;70;108;148;135;130;171;236
01/01/2021;ES22;2=;339;512;582;419;387;500;680;0;764;600;485;369
01/01/2021;ES23;1-;465;1194;416;196;124;123;302;263;216;269;282;444
01/01/2021;ES23;1=;607;791;898;540;591;861;1432;0;1814;1224;764;528
01/01/2021;ES23;2-;478;1006;611;297;163;191;264;301;242;214;312;373
01/01/2021;ES23;2=;539;758;797;613;664;801;1044;0;1500;1427;1064;798
01/01/2021;ES24;1-;111;268;93;32;24;47;42;53;47;42;78;101
01/01/2021;ES24;1=;161;226;247;156;158;191;214;0;299;252;183;132
01/01/2021;ES24;2-;85;192;99;50;40;39;37;56;58;58;73;113
01/01/2021;ES24;2=;156;176;177;145;130;176;262;0;244;162;105;103
01/01/2021;ES25;1-;41;82;79;46;30;25;29;33;26;38;40;46
01/01/2021;ES25;1=;77;78;103;99;91;96;122;0;104;117;98;83
01/01/2021;ES25;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2021;ES25;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2021;ES26;1-;121;232;147;92;61;58;70;69;81;86;74;76
01/01/2021;ES26;1=;116;121;152;140;145;134;228;0;209;200;149;123
01/01/2021;ES26;2-;117;246;166;73;58;59;57;66;72;70;88;88
01/01/2021;ES26;2=;115;157;210;165;168;192;202;0;278;229;201;162
01/01/2021;ES27;1-;442;1104;545;224;155;185;258;232;263;227;310;379
01/01/2021;ES27;1=;625;805;901;741;681;939;1156;0;1592;1463;930;632
01/01/2021;ES27;2-;570;265;106;89;128;149;144;568;129;150;215;348
01/01/2021;ES27;2=;446;474;340;386;511;1066;1455;1397;972;634;474;198
01/01/2021;ES28;1-;405;52;22;24;25;75;69;61;68;107;169;278
01/01/2021;ES28;1=;430;336;228;229;340;406;376;390;311;195;197;94
01/01/2021;ES28;2-;420;71;23;24;35;100;94;81;88;113;244;260
01/01/2021;ES28;2=;434;429;204;239;370;508;475;390;267;194;139;76
01/01/2021;ES29;1-;957;1582;689;639;536;466;617;774;774;1065;1054;949
01/01/2021;ES29;1=;852;986;1007;686;1143;1698;1326;0;1523;1281;1054;904
01/01/2021;ES29;2-;422;1478;358;154;109;94;198;208;249;257;326;461
01/01/2021;ES29;2=;667;932;1009;676;603;933;1160;0;1379;926;710;549
01/01/2021;ES30;1-;129;312;100;55;39;49;70;75;73;76;95;109
01/01/2021;ES30;1=;140;185;217;169;141;156;186;0;226;218;163;158
01/01/2021;ES30;2-;226;598;145;82;56;48;97;107;93;107;116;165
01/01/2021;ES30;2=;231;347;405;256;268;334;510;0;385;314;244;203
01/01/2021;ES31;1-;85;238;43;30;31;30;30;41;39;37;75;88
01/01/2021;ES31;1=;152;200;183;111;104;130;138;0;133;113;83;75
01/01/2021;ES31;2-;94;192;46;29;34;24;36;39;47;53;69;84
01/01/2021;ES31;2=;138;177;209;81;79;113;144;0;129;94;62;57
01/01/2021;ES32;1-;178;534;150;60;56;50;81;105;104;92;143;176
01/01/2021;ES32;1=;254;359;330;250;209;341;402;0;408;301;206;180
01/01/2021;ES32;2-;121;354;93;51;38;41;66;67;61;63;85;115
01/01/2021;ES32;2=;171;261;226;173;163;226;222;0;314;257;178;188
01/01/2021;ES33;1-;384;1334;157;49;26;43;135;142;131;140;182;267
01/01/2021;ES33;1=;527;850;998;456;388;619;812;0;734;550;406;311
01/01/2021;ES33;2-;179;738;75;29;19;27;59;77;66;68;92;180
01/01/2021;ES33;2=;292;496;548;249;201;310;388;0;370;239;209;180
01/01/2021;ES34;1-;97;128;122;51;57;37;50;47;56;79;100;96
01/01/2021;ES34;1=;118;106;133;117;125;168;200;0;207;146;129;115
01/01/2021;ES34;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2021;ES34;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2021;ES36;1-;1028;101;28;30;30;133;107;99;126;192;276;504
01/01/2021;ES36;1=;891;877;404;520;721;972;1386;1323;961;615;648;274
01/01/2021;ES36;2-;941;89;29;22;31;116;142;100;116;197;328;561
01/01/2021;ES36;2=;880;903;389;533;841;1475;1531;1105;678;370;336;170
01/01/2021;ES37;1-;764;91;19;26;37;107;152;117;127;165;292;441
01/01/2021;ES37;1=;720;710;394;426;585;616;631;540;507;371;381;193
01/01/2021;ES37;2-;958;79;30;25;40;181;184;130;150;222;382;584
01/01/2021;ES37;2=;919;896;406;426;648;981;935;763;554;361;290;98
01/01/2021;ES38;1-;49;139;4;1;2;0;12;10;10;9;24;47
01/01/2021;ES38;1=;89;150;131;44;49;58;76;80;76;61;50;44
01/01/2021;ES38;2-;223;358;23;19;6;11;54;56;43;52;75;112
01/01/2021;ES38;2=;169;294;295;120;156;191;254;247;203;159;89;100
01/01/2021;ES39;1-;661;0;1086;53;21;19;20;166;276;146;127;203
01/01/2021;ES39;1=;334;627;1107;1087;428;464;796;1062;1108;849;712;403
01/01/2021;ES39;2-;957;0;1095;62;27;19;18;140;227;203;213;255
01/01/2021;ES39;2=;480;755;1228;1112;483;602;835;1093;948;746;623;427
01/01/2021;ES40;1-;593;67;41;28;23;102;126;116;100;143;206;329
01/01/2021;ES40;1=;552;578;273;318;447;538;546;487;365;263;255;135
01/01/2021;ES40;2-;920;102;39;26;29;134;195;96;119;152;281;468
01/01/2021;ES40;2=;804;774;328;391;526;720;731;673;548;373;361;152
01/01/2021;ES41;1-;645;136;92;62;47;115;141;102;158;201;278;447
01/01/2021;ES41;1=;591;570;364;403;465;594;691;566;475;354;332;193
01/01/2021;ES41;2-;579;112;53;38;40;65;89;88;74;124;227;315
01/01/2021;ES41;2=;540;531;290;334;446;622;564;464;340;290;226;113
01/01/2021;ES42;1-;352;61;14;13;12;53;35;36;71;95;135;200
01/01/2021;ES42;1=;336;289;179;198;303;333;428;387;288;182;220;143
01/01/2021;ES42;2-;398;43;16;10;11;34;34;41;57;90;128;196
01/01/2021;ES42;2=;388;420;181;180;273;342;382;337;200;151;178;92
01/01/2021;ES43;1-;325;422;92;46;30;49;78;78;77;114;183;236
01/01/2021;ES43;1=;310;397;390;218;270;397;525;489;344;248;206;146
01/01/2021;ES43;2-;223;407;115;55;21;31;56;75;69;83;112;171
01/01/2021;ES43;2=;250;314;357;209;232;321;363;387;363;285;261;163
01/01/2021;ES44;1-;587;200;78;37;39;115;110;136;141;215;357;536
01/01/2021;ES44;1=;712;755;455;547;690;1369;1835;1527;914;498;355;187
01/01/2021;ES44;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2021;ES44;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2021;ES45;1-;854;230;71;52;64;127;125;107;141;195;279;498
01/01/2021;ES45;1=;875;951;548;565;707;1243;1776;1697;1114;633;504;210
01/01/2021;ES45;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2021;ES45;2=;0;0;0;0;0;0;0;0;0;0;0;0
