año,mes,distrito,fuegos,daños_en_construccion,salvamentos_y_rescates,daños_por_agua,incidentes_diversos,salidas_sin_intervencion,servicios_varios,total,idMes
2023,febrero,BARAJAS,2,0,4,2,7,5,3,23,2
2023,febrero,FUERA DEL TERMINO MUNICIPAL,2,0,1,0,2,2,1,8,2
2023,enero,CENTRO,35,35,52,21,38,61,3,245,1
2023,enero,ARGANZUELA,15,13,28,6,25,25,3,115,1
2023,enero,RETIRO,4,7,12,6,8,15,6,58,1
2023,enero,SALAMANCA,8,9,23,8,20,28,7,103,1
2023,enero,CHAMARTIN,17,11,21,4,17,20,10,100,1
2023,enero,TETUAN,16,9,25,13,14,24,4,105,1
2023,enero,CHAMBERI,7,14,28,15,16,24,3,107,1
2023,enero,FUENCARRAL,21,6,24,11,28,23,4,117,1
2023,enero,MONCLOA,9,13,14,6,32,24,8,106,1
2023,enero,LATINA,20,5,32,13,26,36,11,143,1
2023,enero,CARABANCHEL,21,11,31,4,19,33,2,121,1
2023,enero,USERA,23,7,13,4,21,19,6,93,1
2023,enero,PUENTE VALLECAS,33,11,41,6,38,32,41,202,1
2023,enero,MORATALAZ,6,0,13,6,5,15,1,46,1
2023,enero,CIUDAD LINEAL,11,5,29,10,33,35,3,126,1
2023,enero,VILLAVERDE,17,4,14,2,16,17,3,73,1
2023,enero,VILLA DE VALLECAS,15,7,19,5,7,22,2,77,1
2023,enero,VICALVARO,9,5,8,3,8,6,2,41,1
2023,enero,SAN BLAS,16,3,25,4,10,20,1,79,1
2023,enero,BARAJAS,1,2,4,2,15,13,8,45,1
2023,enero,FUERA DEL TERMINO MUNICIPAL,0,0,0,0,2,1,0,3,1
