AÑO;MES;DISTRITO;FUEGOS;DAÑOS EN CONSTRUCCION;SALVAMENTOS Y RESCATES;DAÑOS POR AGUA;INCIDENTES DIVERSOS;SALIDAS SIN INTERVENCION;SERVICIOS VARIOS;TOTAL
2023;junio;CHAMBERI;15;14;41;11;24;16;9;130
2023;junio;FUENCARRAL;20;6;28;18;42;23;9;146
2023;junio;MONCLOA;14;3;33;13;43;11;6;123
2023;junio;LATINA;21;11;41;12;40;11;8;144
2023;junio;CARABANCHEL;22;15;38;16;48;27;9;175
2023;junio;USERA;10;4;22;7;18;8;5;74
2023;junio;PUENTE VALLECAS;41;2;32;22;39;14;5;155
2023;junio;MORATALAZ;5;2;16;8;10;5;2;48
2023;junio;CIUDAD LINEAL;29;11;36;17;45;24;2;164
2023;junio;HORTALEZA;17;4;27;8;36;16;3;111
2023;junio;VILLAVERDE;19;5;18;10;28;11;4;95
2023;junio;VILLA DE VALLECAS;21;4;16;5;15;15;1;77
2023;junio;VICALVARO;12;1;12;3;12;7;6;53
2023;junio;SAN BLAS;26;4;17;23;31;13;4;118
2023;junio;BARAJAS;5;4;5;1;20;4;6;45
2023;junio;FUERA TERMINO MUNICIPAL;1;0;0;0;2;0;2;5
2023;mayo;CENTRO;51;29;45;34;60;40;20;279
2023;mayo;ARGANZUELA;16;3;19;10;27;25;6;106
2023;mayo;RETIRO;9;5;19;9;18;9;2;71
2023;mayo;SALAMANCA;9;12;33;17;35;17;5;128
2023;mayo;CHAMARTIN;21;11;16;8;33;11;8;108
2023;mayo;TETUAN;18;17;28;15;22;17;4;121
2023;mayo;CHAMBERI;20;14;32;13;16;18;4;117
2023;mayo;FUENCARRAL;27;4;28;20;43;21;8;151
2023;mayo;MONCLOA;29;5;25;12;30;16;14;131
2023;mayo;LATINA;32;12;28;22;43;20;15;172
2023;mayo;CARABANCHEL;28;12;40;15;42;25;11;173
2023;mayo;USERA;23;7;27;16;27;15;4;119
2023;mayo;PUENTE VALLECAS;28;4;33;18;40;23;9;155
2023;mayo;MORATALAZ;22;1;13;1;17;6;0;60
2023;mayo;CIUDAD LINEAL;18;6;24;4;37;20;3;112
2023;mayo;HORTALEZA;23;9;19;19;39;23;2;134
2023;mayo;VILLAVERDE;30;3;14;7;27;14;2;97
2023;mayo;VILLA DE VALLECAS;15;2;17;1;16;13;1;65
2023;mayo;VICALVARO;12;3;7;6;12;6;1;47
