COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;COD_VIA_COMIENZA;CLASE_COMIENZA;PARTICULA_COMIENZA;VIA_NOMBRE_COMIENZA;COD_VIA_TERMINA;CLASE_TERMINA;PARTICULA_TERMINA;VIA_NOMBRE_TERMINA
31001337;AUTOVÍA;;A-1;31001349;AUTOVIA;;M-30;99000003;LUGAR;LÍMITE TÉRMINO MUNICIPAL;LÍMITE TÉRMINO MUNICIPAL
31001336;AUTOVÍA;;A-2;00310200;CALLE;DE;FRANCISCO SILVELA;99000003;LUGAR;LÍMITE TÉRMINO MUNICIPAL;LÍMITE TÉRMINO MUNICIPAL
31001342;AUTOVÍA;;A-3;00480800;PLAZA;DE;MARIANO DE CAVIA;99000003;LUGAR;LÍMITE TÉRMINO MUNICIPAL;LÍMITE TÉRMINO MUNICIPAL
31001341;AUTOVÍA;;A-42;00468400;AVENIDA;DEL;MANZANARES;99000003;LUGAR;LÍMITE TÉRMINO MUNICIPAL;LÍMITE TÉRMINO MUNICIPAL
31001340;AUTOVÍA;;A-5;00687520;GLORIETA;DE;SAN VICENTE;99000003;LUGAR;LÍMITE TÉRMINO MUNICIPAL;LÍMITE TÉRMINO MUNICIPAL
31001339;AUTOVÍA;;A-6;00614700;GLORIETA;DE LA;PUERTA DE HIERRO;99000003;LUGAR;LÍMITE TÉRMINO MUNICIPAL;LÍMITE TÉRMINO MUNICIPAL
31000210;CALLE;DEL;ABAD JUAN CATALÁN;00978785;CARRETERA;DE;VICÁLVARO A LA ESTACIÓN DE O'DONNELL;99000001;LUGAR;;FONDO DE SACO
00000200;CALLE;DE LA;ABADA;00656500;CALLE;DE LA;SALUD;342950;CALLE;;GRAN VÍA
00000300;CALLE;DE LOS;ABADES;00505000;CALLE;DEL;MESÓN DE PAREDES;262000;CALLE;DE;EMBAJADORES
00000400;CALLE;DE LA;ABADESA;00643000;CALLE;DE;ROBLEDO;509600;CALLE;DE LA;MIOSOTIS
00000600;CALLE;DE;ÁBALOS;99000001;LUGAR;;FONDO DE SACO;169200;CALLE;DE;CIDAMÓN
31001576;CARRETERA;;ABANDONADA;00905094;VIA;;FERROCARRIL DE MADRID CHAMARTÍN A BURGOS;905614;CAMINO;DEL;VALLE TOCÓN
00000700;CALLE;DEL;ABANICO;00737900;CALLE;DE LOS;TEJEDORES;562200;CALLE;DE LA;PAÑERÍA
00000800;CALLE;DE;ABANTOS;00144700;CALLE;DE;CARLOS PEREYRA;582200;CALLE;DE;LA PEÑOTA
00000900;CALLE;DEL;ABARDERO;00239000;CALLE;DE LA;DIVINA PASTORA;384400;CALLE;DE LAS;ISLAS ANTÍPODAS
00001000;CALLE;DE;ABÁRZUZA;00469100;CALLE;DEL;MAR DE LAS ANTILLAS;469100;CALLE;DEL;MAR DE LAS ANTILLAS
00001100;CALLE;DE;ABAY;00573300;CALLE;DE;PEDRO JIMÉNEZ;339100;CALLE;DE;GÓMEZ ACEBO
00001150;CALLE;DE;ABDÓN TERRADAS;00108600;CALLE;DE;BLASCO DE GARAY;352700;CALLE;DE;GUZMÁN EL BUENO
00001200;CALLE;DEL;ABEDUL;00310300;CALLE;DE;FRANCISCO SUÁREZ;99000001;LUGAR;;FONDO DE SACO
00001300;CALLE;DE;ABEGONDO;00469100;CALLE;DEL;MAR DE LAS ANTILLAS;469100;CALLE;DEL;MAR DE LAS ANTILLAS
00001301;CALLE;DEL;ABEJARUCO;00129251;RONDA;DEL;TREN;900207;CALLE;DEL;SEIS DE DICIEMBRE
00001400;CALLE;DE LA;ABEJUELA;00677600;CALLE;DE;SAN MARCELINO;404600;CALLE;DE;JOSÉ MAURELO
00001500;CALLE;DE;ABEL;00571800;CALLE;DE;PEDRO BARREDA;241500;AVENIDA;DEL;DOCTOR FEDERICO RUBIO Y GALÍ
00002665;CALLE;DE LAS;ABELIAS;00002637;AVENIDA;DE LAS;AZALEAS;858;AVENIDA;DE LOS;ANDES
00001600;CALLE;DE;ABELLA;00329600;AVENIDA;DE;CARABANCHEL ALTO;601300;CALLE;DE;POLVORANCA
00001800;CALLE;DE;ABERTURA;00469100;CALLE;DEL;MAR DE LAS ANTILLAS;469100;CALLE;DEL;MAR DE LAS ANTILLAS
00002318;CALLE;DEL;ABETAL;00118600;AVENIDA;DE;BURGOS;906263;CALLE;DE LA;SAUCEDA
00001900;CALLE;DEL;ABETO;00804700;CAMINO;DE LA;ZARZUELA;152500;CALLE;DE;CASIOPEA
00002100;CALLE;DE;ABIZANDA;00469100;CALLE;DEL;MAR DE LAS ANTILLAS;3700;CALLE;DE;ACEBEDO
00002300;CALLE;DEL;ABOLENGO;00496100;CALLE;DE;MATILDE HERNÁNDEZ;543600;CALLE;DE LA;OCA
00002400;AVENIDA;DE;ABRANTES;00549100;AVENIDA;DE;OPORTO;600400;AVENIDA;DE LOS;POBLADOS
00002500;CALLE;DE;ABRIL;00313350;CALLE;DE;FUENCEMILLÁN;31003081;CARRETERA;;M-22
00002600;CALLE;DE;ABTAO;00171800;AVENIDA;DE LA;CIUDAD DE BARCELONA;499700;AVENIDA;DEL;MEDITERRÁNEO
00002725;RONDA;DE LA;ABUBILLA;00724400;RONDA;DE;SOBRADIEL;724400;RONDA;DE;SOBRADIEL
31000683;CALLE;DE;ABUNDIO GARCÍA ROMÁN;00059100;CALLE;DE;ANTONIO DE LEYVA;775700;CALLE;DE LA;VERDAD
00002800;CALLE;DE;ABUÑOL;00003700;CALLE;DE;ACEBEDO;2100;CALLE;DE;ABIZANDA
00002900;PASEO;DE LAS;ACACIAS;00262100;GLORIETA;DE;EMBAJADORES;597700;GLORIETA;DE LAS;PIRÁMIDES
00003000;CALLE;DE LA;ACADEMIA;00651000;CALLE;DE;RUIZ DE ALARCÓN;27500;CALLE;DE;ALFONSO XII
00003050;CALLE;DE LA;ACADEMIA DE LA POLICÍA NACIONAL;00133455;CARRETERA;DE;CANILLAS;2264;CALLE;DE;JULIÁN GONZÁLEZ SEGADOR
00003200;CALLE;DE;ACADEMOS;00278700;CALLE;DE;ESTANISLAO GÓMEZ;278700;CALLE;DE;ESTANISLAO GÓMEZ
00003250;CALLE;DE;ACAMAR;00552800;AVENIDA;DE LA;OSA MAYOR;1868;CALLE;DE LA;GOLONDRINA
00003400;CALLE;DEL;ACANTILADO;00639800;CALLE;DE LA;RIBERA DEL MANZANARES;201300;PASEO;DEL;COMANDANTE FORTEA
00002881;CALLE;DE LA;ACANTITA;00002876;CALLE;DE LA;ESTEFANITA;2879;CALLE;DEL;BERROCAL
00000873;CALLE;DEL;ACANTO;00000875;CALLE;DEL;OMBÚ;874;CALLE;DE LA;RETAMA
00001084;CARRETERA;DE;ACCESO A LA ESTACIÓN DE AUTOBUSES DE LA E.M.T.;00731000;RONDA;;SUR;262000;CALLE;DE;EMBAJADORES
00906015;CARRETERA;DE;ACCESO A LA ESTACIÓN DE O'DONNELL;00018900;CALLE;DE;ALCALÁ;277900;ESTACION DE FERROCARRIL;;O'DONNELL
00003700;CALLE;DE;ACEBEDO;00001000;CALLE;DE;ABÁRZUZA;2100;CALLE;DE;ABIZANDA
00003750;CALLE;DE;ACEBES;00241150;CALLE;DEL;DOCTOR CRIADO;733450;PASEO;DE LOS;TALLERES
00003800;CALLE;DEL;ACEBO;00751200;CALLE;;TRANSVERSAL;439300;CALLE;DE LOS;LIRIOS
00546601;CALLE;DEL;ACEBUCHE;00900733;CALLE;DE;ROSA LUXEMBURGO;76200;ARROYO;DE;POZUELO
00905704;CAMINO;DE LOS;ACEITEROS;00905698;CAMINO;DE LA;MAGDALENA;99000003;LUGAR;;LÍMITE TÉRMINO MUNICIPAL
00003900;CALLE;DE;ACENTEJO;00398700;CALLE;DE;JOSÉ ARCONES GIL;722300;CALLE;DE;LOS SILOS
00906106;CALLE;DE;ACEREIRO;00000990;CALLE;DEL;MELILOTO;255800;CALLE;DEL;GORDOLOBO
00004100;CALLE;DE;ACEUCHAL;00802300;CALLE;DE LA;ZAIDA;25700;CALLE;DE;ALFARO
00000928;PLAZA;DE LA;ACHICORIA;00029650;CALLE;DE LA;ALHAMBRA;362700;CALLE;DE LAS;HIGUERAS
00004200;CALLE;DE;ACHURI;00285400;CALLE;DE;EZEQUIEL SOLANA;263500;CALLE;DE;EMILIO FERRARI
00000901;CALLE;DE;ACONCAGUA;00000899;CALLE;DE;AREQUIPA;909;GLORIETA;DEL;RÍO URUBAMBA
00004400;CALLE;DEL;ACÓNITO;00561500;CALLE;DE;PANDO;238800;PASEO;DE LA;DIRECCIÓN
00004450;CALLE;DE LA;ACUARELA;00064400;AVENIDA;DE;ARAGÓN;906264;ARROYO;DE LAS;REJAS
00004500;CALLE;DE;ACUARIO;00356700;PLAZA;DE LOS;HERMANOS FALCÓ Y ÁLVAREZ DE TOLEDO;328000;CALLE;DE;GÉMINIS
00004600;CALLE;DEL;ACUEDUCTO;00802800;CALLE;DE;ZAMORA;241500;AVENIDA;DEL;DOCTOR FEDERICO RUBIO Y GALÍ
31000190;CALLE;DEL;ACUEDUCTO DE SEGOVIA;31000334;CALLE;DE LAS;MURALLAS DE ÁVILA;267700;CALLE;DE;ENRIQUE MARTÍNEZ
00004700;CALLE;DEL;ACUERDO;00536700;CALLE;DEL;NOVICIADO;17200;CALLE;DE;ALBERTO AGUILERA
31000289;CALLE;DE;ADAM SMITH;31000286;CALLE;DE;FREUD;31000288;CALLE;DE;LAVOISIER
00004750;CALLE;DE;ADANERO;00069100;CALLE;DE;ARENAS DE SAN PEDRO;689775;CALLE;DE;SANCHIDRIÁN
00004900;CALLE;DE;ADELA BALBOA;00326100;CALLE;DE;GARELLANO;155700;CALLE;DE;CASTILLO PIÑEIRO
00005000;CALLE;DE LAS;ADELFAS;00045600;CALLE;DE;ANDALUCÍA;698850;CALLE;DE;SANTA SABINA
00389800;CALLE;DE;ADELINA PATTI;00563700;PASEO;DE;EL PARDO;905052;RIO;;MANZANARES
00005200;CALLE;DE;ADEMUZ;00329000;CALLE;DE;CLARA CAMPOAMOR;394800;CALLE;DE;JIMENA
31000496;CALLE;DE;ADOLFO BIOY CASARES;31000613;CALLE;DE LA;CAÑADA DEL SANTÍSIMO;31000503;AVENIDA;DE;LAS SUERTES
31000486;CALLE;DE;ADOLFO MARSILLACH;31000474;AVENIDA;DEL;ENSANCHE DE VALLECAS;31000471;AVENIDA;DE LA;GRAN VÍA DEL SURESTE
00000969;CALLE;DE;ADONIS;00000990;CALLE;DEL;MELILOTO;255800;CALLE;DEL;GORDOLOBO
00005300;CALLE;DE;ADORA;00524800;CALLE;DE;MOTRIL;583100;CAMINO;DE;PERALES
00005400;CALLE;DE;ADRA;00005600;CALLE;DE;ADRADA DE HAZA;628300;CALLE;DE;RAMÍREZ TOMÉ
00005500;PASAJE;DE;ADRA;00005400;CALLE;DE;ADRA;572000;CALLE;DE;PEDRO CALLEJO
00005600;CALLE;DE;ADRADA DE HAZA;00716200;CALLE;DE LA;SIERRA FALADORA;573400;CALLE;DE;PEDRO LABORDE
00005700;CALLE;DE;ADRIÁN ANDRÉS;00670000;CALLE;DE;SAN GERARDO;634600;CALLE;DE;REGINA ÁLVAREZ
00005900;CALLE;DE;ADRIÁN PULIDO;00442000;CALLE;DE;LORENZA CORREA;560700;CALLE;DE;PAMPLONA
31000084;CALLE;DE;ADRIANO DE UTRECHT;31000074;AVENIDA;DE;ISABEL DE VALOIS;31000081;CALLE;DE;MARÍA TUDOR
00006000;CALLE;DE LA;ADUANA;00519000;CALLE;DE LA;MONTERA;794800;CALLE;DE LA;VIRGEN DE LOS PELIGROS
00006300;CALLE;DE LA;AERONAVE;00000839;CALLE;DE;ARTEMISA;31000057;CALLE;DE LA;PLAYA AMÉRICA
00001126;CAMINO;DEL;AEROPUERTO;99000001;LUGAR;;FONDO DE SACO;31002061;AVENIDA;;SUR DEL AEROPUERTO DE BARAJAS
00001006;CALLE;DEL;AFECTO;00000999;CALLE;DE LA;UNANIMIDAD;998;CALLE;DE LA;ALIANZA
00001022;CALLE;DE LOS;AFLUENTES;00612260;CALLE;DE;PUEBLA DE SANABRIA;1020;PASEO;;PLATA Y CASTAÑAR
00006600;CALLE;DE;AFUERAS A SAN ROQUE;00491900;PLAZA;DE LOS;MÁRTIRES;467500;CALLE;DE;MANUEL VILLARTA
00006700;CALLE;DE;AFUERAS A VALVERDE;00001856;GLORIETA;DE LA;FUENTE DE LA CARRA;176100;CARRETERA;DE;COLMENAR VIEJO
00006700;CALLE;DE;AFUERAS A VALVERDE;00001856;GLORIETA;DE LA;FUENTE DE LA CARRA;176100;AUTOVIA;DE;MADRID A COLMENAR VIEJO
00001973;PUENTE;DE LA;AGACHADIZA;00905210;PASEO;DE LOS;CASTAÑOS;2075;ARROYO;DE;MEAQUES
00006800;CALLE;DE;AGAMI;00298100;CALLE;DE;FLORENCIO GARCÍA;511600;CALLE;DE LOS;MISTERIOS
00007000;CALLE;DE;AGASTIA;00292900;CALLE;DE;FERNÁNDEZ CARO;161300;CALLE;DE;CELESTE
00007100;CALLE;DE;ÁGATA;00554100;CALLE;DEL;OXÍGENO;243300;CALLE;DEL;DOCTOR MARTÍN ARÉVALO
00007200;PLAZA;DE;ÁGATA;00243300;CALLE;DEL;DOCTOR MARTÍN ARÉVALO;275300;AVENIDA;DE LA;ESPINELA
31001351;CALLE;DE;AGATHA CHRISTIE;31003596;GLORIETA;DE;CUSTODIO MORENO;1127;CAMINO;DE LA;HUERTA
00007300;CALLE;DEL;ÁGAVE;00033800;CALLE;DE LAS;ALMORTAS;134800;CALLE;DEL;CANTUESO
00002826;CALLE;DE;AGÉS;00002798;AVENIDA;DEL;CAMINO DE SANTIAGO;2803;PASEO;DE;SAN MILLÁN DE LA COGOLLA
00007400;CALLE;DE;AGILA;00334900;CALLE;DE;GENSERICO;392200;PASEO;DE LOS;JESUITAS
00007600;CALLE;DE;AGOSTO;00000777;AVENIDA;DEL;INVIERNO;31500;CALLE;DEL;ALMANAQUE
00007700;CALLE;DEL;AGRACEJO;00007300;CALLE;DEL;ÁGAVE;137000;CALLE;DEL;CAPITÁN BLANCO ARGIBAY
00007800;CALLE;DE;AGRAMUNT;00019600;CALLE;DE;ALCAÑIZ;12500;CALLE;DE;ALAGÓN
00007850;CALLE;DE;ÁGREDA;00547550;CALLE;DE;OLVEGA;31750;CALLE;DE;ALMARZA
31001268;PLAZA;DE;AGUA, AZUCARILLOS Y AGUARDIENTE;00789100;CALLE;DE;EDUARDO BARREIROS;31000426;CALLE;DE;LAGUNA RODRIGO
00007900;CALLE;DEL;AGUACATE;00254900;CALLE;DE LA;DUQUESA DE TAMAMES;778100;CALLE;;VÍA LUSITANA
00008000;PLAZA;DEL;AGUADOR;00799410;PLAZA;DE;VULCANO;433500;CALLE;DEL;CAMINO VIEJO DE LEGANÉS
00008100;CALLE;DE;AGUADULCE;00019600;CALLE;DE;ALCAÑIZ;6300;CALLE;DE LA;AERONAVE
00008200;CALLE;DE;AGUARÓN;00804700;CAMINO;DE LA;ZARZUELA;763525;AVENIDA;DE;VALDEMARÍN
00008300;CALLE;DE LAS;AGUAS;00731700;CALLE;DE LAS;TABERNILLAS;248500;CALLE;DE;DON PEDRO
00008400;CALLE;DE;AGUAVIVA;00064400;AVENIDA;DE;ARAGÓN;317200;CALLE;DE;FUENTELVIEJO
00008500;CALLE;DE;ÁGUEDA DÍEZ;00332700;CALLE;DEL;GENERAL RICARDOS;8600;PLAZA;DE;ÁGUEDA DÍEZ
00008600;PLAZA;DE;ÁGUEDA DÍEZ;00008500;CALLE;DE;ÁGUEDA DÍEZ;806000;CALLE;DEL;ZORZAL
00000838;CALLE;DE;AGUETOL;00000726;CALLE;DEL;MURO;439900;AVENIDA;DE;LOGROÑO
00008700;CALLE;DEL;ÁGUILA;00499600;CALLE;DEL;MEDIODÍA GRANDE;235700;CUESTA;DE LAS;DESCARGAS
00905563;CAMINO;DEL;ÁGUILA DE SAN JORGE;00905565;CARRETERA;DE;NAVALCARRO;99000003;LUGAR;;LÍMITE TÉRMINO MUNICIPAL
00008800;CALLE;DE;AGUILAFUENTE;00689600;CALLE;DE;SÁNCHEZ PRECIADO;785200;CALLE;DE;VILLAAMIL
00008900;CALLE;DE;AGUILAR DE CAMPOO;99000001;LUGAR;;FONDO DE SACO;77400;CALLE;DE;ARTAJONA
00009100;CALLE;DE;AGUILAR DEL RÍO;00665200;CALLE;DE;SAN DEOGRACIAS;445600;CALLE;DE;LUIS CLAUDIO
00009200;CALLE;DE LAS;AGUILEÑAS;00114600;CALLE;DE;BRAVO MURILLO;135600;CALLE;DEL;CAÑAVERAL
00009300;CALLE;DE;AGUILÓN;00697200;PASEO;DE;SANTA MARÍA DE LA CABEZA;295000;CALLE;DE;FERNANDO POO
00009500;CALLE;DE;AGUIRRE;00018900;CALLE;DE;ALCALÁ;544600;CALLE;DE;O'DONNELL
00009600;CALLE;DE LA;AGUJA;00043700;CALLE;DE;AMPOSTA;28800;CALLE;DEL;ALGODÓN
00009900;CALLE;DE;AGUSTÍN CALVO;00408400;CALLE;DE;JOSEFA HERRADÓN;786050;CALLE;DE LA;VILLA DE CHURRIANA
00009800;CALLE;DE;AGUSTÍN DE BETANCOURT;00642000;CALLE;DE;RÍOS ROSAS;627700;CALLE;DE;RAIMUNDO FERNÁNDEZ VILLAVERDE
00010200;CALLE;DE;AGUSTÍN DE FOXÁ;00154500;PLAZA;DE;CASTILLA;644600;CALLE;DE;RODRÍGUEZ JAÉN
00002263;CALLE;DE;AGUSTÍN DE ITURBIDE;00002262;CALLE;DE;SIMÓN BOLÍVAR;764725;CALLE;DE;VALDETORRES DE JARAMA
00010600;CALLE;DE;AGUSTÍN DE ROJAS;00472100;CALLE;DE;MARCENADO;293400;CALLE;DE;FERNÁNDEZ DE OVIEDO
00010100;CALLE;DE;AGUSTÍN DURÁN;00295800;CALLE;DE;FERRER DEL RÍO;216500;CALLE;DE;COSLADA
00002643;CALLE;DE;AGUSTÍN GARCÍA MALLA;00716700;CALLE;DE LA;SIERRA GORDA;2642;CAMINO;DE;VASARES
31001046;PLAZA;DE;AGUSTÍN GONZÁLEZ;00233600;AVENIDA;DE;DAROCA;695400;CALLE;DE;SANTA GENOVEVA
00010260;CALLE;DE;AGUSTÍN LARA;00037900;CALLE;DEL;ALTOZANO;537800;PLAZA;DE;NUESTRA SEÑORA DEL BUEN CAMINO
00010400;CALLE;DE;AGUSTÍN QUEROL;00398100;CALLE;DE;JOSÉ ANSELMO CLAVE;48200;CALLE;DE;ANDRÉS TORREJÓN
00010500;CALLE;DE;AGUSTÍN RODRÍGUEZ BONAT;00655900;CALLE;DE;SALLABERRY;100400;CALLE;DE;BELMONTE DE TAJO
00010800;CALLE;DE;AGUSTÍN VIÑAMATA;00157800;CALLE;DE;CATALINA SUÁREZ;447100;CALLE;DE;LUIS MITJANS
00010900;CALLE;DE;AGUSTINA DE ARAGÓN;00019400;CALLE;DE;ALCÁNTARA;520200;CALLE;DE;MONTESA
00011100;CALLE;DE;AGUSTINA FIERRA;00254900;CALLE;DE LA;DUQUESA DE TAMAMES;89600;CALLE;DE;BALTANÁS
00011300;CALLE;DE LOS;AHIJONES;00002223;AVENIDA;DEL;PARQUE DE PALOMERAS BAJAS;615800;CALLE;DEL;PUERTO DE BALBARÁN
00011450;PASAJE;DE;AHILLONES;00792400;AVENIDA;DE LA;VIRGEN DEL CARMEN;469100;CALLE;DEL;MAR DE LAS ANTILLAS
00011500;AVENIDA;DE LOS;AHONES;00724400;RONDA;DE;SOBRADIEL;453100;AVENIDA;DE LOS;MADROÑOS
00011550;PLAZA;DEL;AHORRO;00501650;CALLE;DE;MENASALBAS;438250;CALLE;DE;LILLO
31000677;CALLE;DE LOS;AHUMAOS;31001649;CALLE;DE;PEDRO GARCÍA ORTIZ;598090;CALLE;DE LA;PIROTECNIA
00011800;CALLE;DEL;AILANTO;00790200;CALLE;DE LA;VINCA;335200;CALLE;DE LOS;GERANIOS
00000915;CALLE;DE;AÍNSA;00421050;CALLE;DE;JULIA GARCÍA BOUTÁN;478850;CALLE;DE;MARÍA SEVILLA DIAGO
00002734;CALLE;DEL;AIRE;31000043;CALLE;DE;VALHONDO;31000047;CALLE;DEL;SOTAVENTO
00011900;CALLE;DE;AIZGORRI;00207500;CALLE;DE LOS;CONDES DE TORREANAZ;778775;CALLE;DE;VICÁLVARO
00012000;CALLE;DE;AJALVIR;00753000;CALLE;DE;TREMP;783700;CALLE;DE;VIELLA
00775601;CALLE;DEL;AJENJO;00900733;CALLE;DE;ROSA LUXEMBURGO;709;CALLE;DEL;ANÍS
00012300;CALLE;DE;AJOFRÍN;00066700;AVENIDA;DE;ARCENTALES;67900;CALLE;DE;ARCOS DE JALÓN
00012350;PASEO;DE LOS;ALABARDEROS;00430225;PASEO;DE LOS;LANCEROS;210050;CALLE;DE LOS;CORACEROS
00002313;CALLE;DEL;ALABASTRO;00744300;CALLE;DE;TOMÁS BRETÓN;2309;CALLE;DEL;PÁRROCO EUSEBIO CUENCA
00012400;CALLE;DE LA;ALADIERNA;00559700;CALLE;DE;PALOMARES;68600;CALLE;DE LAS;ARENAS
00012500;CALLE;DE;ALAGÓN;00000725;PASEO;DEL;ZURRÓN;741800;CALLE;DEL;TIMÓN
00012600;CALLE;DE;ALAJATE;00318400;AVENIDA;DE LOS;FUEROS;524800;CALLE;DE;MOTRIL
00012700;CALLE;DEL;ALAMBIQUE;00208700;CALLE;DE LOS;CONSERVEROS;43700;CALLE;DE;AMPOSTA
00012800;CALLE;DE LA;ALAMEDA;00522300;CALLE;DE;MORATÍN;81600;CALLE;DE;ATOCHA
31000371;CALLE;DE LA;ALAMEDA DE LA FUENTE;00322100;CALLE;DE LOS;GALLEGOS;607900;CALLE;DEL;PRAT
00013000;PASEO;DE LA;ALAMEDA DE OSUNA;00042500;AVENIDA;DE;AMÉRICA;919;CALLE;DE LOS;BREZOS
31000506;CALLE;DE;ALAMEDA DEL VALLE;31000634;CALLE;DE;CINCOVILLAS;31000614;CALLE;DEL;ALTO DE LA SARTENILLA
00013200;CALLE;DE;ALAMEDILLA;00501700;CALLE;DE;MÉNDEZ ÁLVARO;967;CALLE;DE;GARGANTA DE LOS MONTES
00001189;PASEO;DE LAS;ALAMEDILLAS;00664450;CALLE;DE;SAN CUGAT DEL VALLÉS;176100;AUTOVIA;DE;MADRID A COLMENAR VIEJO
00001189;PASEO;DE LAS;ALAMEDILLAS;00664450;CALLE;DE;SAN CUGAT DEL VALLÉS;176100;CARRETERA;DE;COLMENAR VIEJO
00013400;CALLE;DEL;ALAMILLO;00659300;COSTANILLA;DE;SAN ANDRÉS;13500;PLAZA;DEL;ALAMILLO
00013500;PLAZA;DEL;ALAMILLO;00013400;CALLE;DEL;ALAMILLO;13400;CALLE;DEL;ALAMILLO
00013600;CALLE;DEL;ÁLAMO;00524500;PLAZA;DE LOS;MOSTENSES;638700;CALLE;DE LOS;REYES
00001978;PUENTE;DEL;ÁLAMO NEGRO;00905163;CARRETERA;DEL;ZARZÓN;2075;ARROYO;DE;MEAQUES
31001239;CALLE;DE;ALAN TURING;31001240;AVENIDA;DE LA;POLITÉCNICA;31001238;AVENIDA;DEL;CAMPUS SUR
00013900;CALLE;DE;ALANIS;00014000;CALLE;DE;ALAR DEL REY;439900;AVENIDA;DE;LOGROÑO
00014000;CALLE;DE;ALAR DEL REY;00439900;AVENIDA;DE;LOGROÑO;31000045;CALLE;DE LA;PLAYA DE RIAZOR
00014100;CALLE;DE;ALARICO;00283700;CALLE;DE;EURICO;270700;CALLE;DE;ERVIGIO
00014200;CALLE;DE;ALARÓ;00000838;CALLE;DE;AGUETOL;28500;CALLE;DE;ALGEMESÍ
00014250;TRAVESIA;DE;ALARÓ;00028500;CALLE;DE;ALGEMESÍ;13900;CALLE;DE;ALANIS
00014300;CALLE;DE LAS;ALAS;00342900;CALLE;DEL;GRAN PODER;741800;CALLE;DEL;TIMÓN
00014400;CALLE;DEL;ALATERNO;00496800;CALLE;DE;MAURICIO LEGENDRE;757200;CALLE;DEL;TULIPÁN
00014500;CALLE;DE;ÁLAVA;00494700;CALLE;DE;MATEO GARCÍA;357200;CALLE;DE LOS;HERMANOS GÓMEZ
00014600;CALLE;DEL;ALBA;00099500;CALLE;DE;BELISANA;127880;CALLE;DE LOS;CAMINOS
00014700;CALLE;DE;ALBA DE TORMES;00739000;CALLE;DE LA;SOMBRA;153700;PASEO;DE LOS;CASTELLANOS
00014750;CALLE;DE;ALBACETE;00087750;AVENIDA;DE;BADAJOZ;491850;CALLE;DE;MARTÍNEZ VILLERGAS
00014800;CALLE;DE;ALBADALEJO;00220400;PLAZA;DE;CRONOS;66700;AVENIDA;DE;ARCENTALES
00014900;CALLE;DE LA;ALBAHACA;00127700;CALLE;DE LAS;CAMELIAS;99000001;LUGAR;;FONDO DE SACO
00015050;CALLE;DE;ALBAICÍN;00549560;AVENIDA;DE;ORCASUR;130300;CALLE;DE;CAMPOTEJAR
00015100;CALLE;DE;ALBAIDA;00017100;CALLE;DE;ALBERIQUE;778910;AVENIDA;DE;CANILLEJAS A VICÁLVARO
00015200;CALLE;DE;ALBALÁ;00220300;CALLE;DE;CRONOS;14800;CALLE;DE;ALBADALEJO
00015300;CALLE;DE;ALBALATE DEL ARZOBISPO;00713550;CALLE;DE LA;SIERRA DE ALQUIFE;691300;CALLE;DE;SANTA ALICIA
00002455;CALLE;DE;ALBANIA;00002447;CALLE;DE;OSLO;2437;CALLE;DE;ESTOCOLMO
00015400;CALLE;DE LA;ALBAÑILERÍA;00783500;CALLE;DE LA;VIDRIERÍA;67900;CALLE;DE;ARCOS DE JALÓN
00000983;CALLE;DEL;ALBARDÍN;00610050;AVENIDA;DE LA;PRINCESA JUANA DE AUSTRIA;165800;CALLE;DEL;CERRO BLANCO
00015500;CALLE;DE;ALBARES DE LA RIBERA;00018500;CALLE;DE;ALBOX;100900;CALLE;DE;BELZUNEGUI
00015600;CALLE;DEL;ALBARICOQUE;00007900;CALLE;DEL;AGUACATE;99000001;LUGAR;;FONDO DE SACO
00015700;CALLE;DE;ALBARRACÍN;00018900;CALLE;DE;ALCALÁ;263900;CALLE;DE;EMILIO MUÑOZ
00015800;CALLE;DE;ALBASANZ;00357000;CALLE;DE LOS;HERMANOS GARCÍA NOBLEJAS;220400;PLAZA;DE;CRONOS
00015900;CALLE;DE;ALBATANA;00469100;CALLE;DEL;MAR DE LAS ANTILLAS;99000001;LUGAR;;FONDO DE SACO
00016000;CALLE;DEL;ALBATROS;00596700;CALLE;DEL;PINZÓN;429700;CALLE;DE LA;LAGUNA
00016100;CALLE;DE;ALBELDA;00748600;CALLE;DE;TORRELAGUNA;769600;PLAZA;DE;VALVANERA
00016200;CALLE;DE;ALBENDIEGO;00595200;CALLE;DE;PINOS ALTA;2528;CALLE;DE LA;COSTA VERDE
00016300;CALLE;DE;ALBÉNIZ;00285200;PASEO;DE;EXTREMADURA;33100;CALLE;DEL;ALMIRANTE REQUESENS
00016400;CALLE;DE;ALBENTOSA;00777860;CALLE;;VÍA CARPETANA;75800;CALLE;DEL;ARROYO DE LAS PAVAS
00016700;CALLE;DEL;ALBERCHE;00501700;CALLE;DE;MÉNDEZ ÁLVARO;171800;AVENIDA;DE LA;CIUDAD DE BARCELONA
00001159;PASAJE;DEL;ALBERCHE;00016700;CALLE;DEL;ALBERCHE;1158;CALLE;DE LAS;COCHERAS
00016800;CALLE;DE;ALBERDI;00238800;PASEO;DE LA;DIRECCIÓN;238800;PASEO;DE LA;DIRECCIÓN
00905194;CARRETERA;DEL;ALBERGUE JUVENIL;00905191;PASEO;DE LA;VENTA;905197;PASEO;DEL;ROBLEDAL
00017100;CALLE;DE;ALBERIQUE;00012300;CALLE;DE;AJOFRÍN;354700;AVENIDA;DE;HELLÍN
