COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;COD_VIA_COMIENZA;CLASE_COMIENZA;PARTICULA_COMIENZA;VIA_NOMBRE_COMIENZA;COD_VIA_TERMINA;CLASE_TERMINA;PARTICULA_TERMINA;VIA_NOMBRE_TERMINA
00660000;CALLE;DE;SAN ANTÓN;00509800;CALLE;DE;MIRA EL RÍO;243700;CALLE;DEL;DOCTOR MEDIAVILLA
00660100;CALLE;DE;SAN ANTONIO;00558700;CALLE;DE;PALENCIA;740600;CALLE;DE;TERUEL
00660400;GLORIETA;DE;SAN ANTONIO DE LA FLORIDA;00298900;PASEO;DE LA;FLORIDA;767200;AVENIDA;DE;VALLADOLID
00660500;CALLE;DE;SAN ANTONIO DE PADUA;00547600;CALLE;DEL;OLVIDO;362800;CALLE;DE LAS;HIJAS DE JESÚS
00660600;CALLE;DE;SAN AQUILINO;00079950;AVENIDA;DE;ASTURIAS;446000;CALLE;DE;LUIS ESTEBAN
00660700;CALLE;DE;SAN ARMENGOL;00468400;AVENIDA;DEL;MANZANARES;59400;CALLE;DE;ANTONIO LÓPEZ
00660800;CALLE;DE;SAN ARTURO;00140500;CALLE;DE LOS;CARBONEROS;556100;AVENIDA;DEL;PADRE CIPRIANO
00660950;CALLE;DE;SAN AURELIANO;00250600;CALLE;DE;DOROTEO LABORDA;296400;PASEO;DE LOS;FERROVIARIOS
00661000;CALLE;DE;SAN BALDOMERO;00294200;CALLE;DE;FERNANDO GABRIEL;257400;CALLE;DE;GANDHI
00661100;CALLE;DE;SAN BARTOLOMÉ;00771000;PLAZA;DE;PEDRO ZEROLO;81800;CALLE;DE;AUGUSTO FIGUEROA
00661200;CALLE;DE;SAN BASILIO;00148900;CALLE;DE LOS;CARRASCALES;31000267;PLAZA;DEL;MIRADOR DE ORCASITAS
00661300;CALLE;DE;SAN BENIGNO;00058100;CALLE;DE;ANTONIO GISTÁU;546900;COSTANILLA;DE LOS;OLIVOS
00661400;CALLE;DE;SAN BENITO;00153600;PASEO;DE LA;CASTELLANA;79950;AVENIDA;DE;ASTURIAS
00661500;CALLE;DE;SAN BERNABÉ;00669050;AVENIDA;DE LA;GRAN VÍA DE SAN FRANCISCO;235700;CUESTA;DE LAS;DESCARGAS
00661600;CALLE;DE;SAN BERNARDINO;00206700;PLAZA;DEL;CONDE DE TORENO;218500;PLAZA;DE;CRISTINO MARTOS
00661700;CALLE;DE;SAN BERNARDO;00702300;PLAZA;DE;SANTO DOMINGO;622200;GLORIETA;DE;QUEVEDO
00661800;CALLE;DE;SAN BLAS;00682300;CALLE;DE;SAN PEDRO;12800;CALLE;DE LA;ALAMEDA
00662000;CALLE;DE;SAN BONIFACIO;00666400;CALLE;DE;SAN ERASMO;632200;AVENIDA;;REAL DE PINTO
00662200;CALLE;DE;SAN BRAULIO;00085700;CALLE;DEL;AZABACHE;682200;CALLE;DE;SAN PATRICIO
00662300;CALLE;DE;SAN BRUNO;00743600;CALLE;DE;TOLEDO;158700;CALLE;DE LA;CAVA BAJA
00662400;CALLE;DE;SAN BUENAVENTURA;00669100;PLAZA;DE;SAN FRANCISCO;319900;PLAZA;DE;GABRIEL MIRÓ
00662500;CALLE;DE;SAN CÁNDIDO;00468400;AVENIDA;DEL;MANZANARES;672000;PASEO;DE;SAN ILLÁN
00662600;CALLE;DE;SAN CANUTO;00058100;CALLE;DE;ANTONIO GISTÁU;546900;COSTANILLA;DE LOS;OLIVOS
00662700;CALLE;DE;SAN CARLOS;00432200;CALLE;DE;LAVAPIÉS;83000;CALLE;DEL;AVE MARÍA
00662750;CALLE;DE;SAN CASIMIRO;00655200;CALLE;DE;SALASIERRA;240400;CALLE;DEL;DOCTOR CARMENA RUIZ
00662900;CALLE;DE;SAN CAYETANO;00262000;CALLE;DE;EMBAJADORES;639680;CALLE;DE LA;RIBERA DE CURTIDORES
00663000;PLAZA;DE;SAN CAYETANO;00086100;CALLE;DE;AZCONA;270100;CALLE;DE;ERASO
00663100;CALLE;DE;SAN CÉSAR;00545100;CALLE;DE;OFELIA NIETO;689600;CALLE;DE;SÁNCHEZ PRECIADO
00663200;CALLE;DE;SAN CESÁREO;00664600;CALLE;DE;SAN DALMACIO;632200;AVENIDA;;REAL DE PINTO
00663300;CALLE;DE;SAN CIPRIANO;00233600;AVENIDA;DE;DAROCA;2903;AVENIDA;DE LA;GRAN VÍA DEL ESTE
00663400;CALLE;DE;SAN CIRIACO;00042000;CALLE;DE;AMBROZ;389850;CALLE;DEL;JARDÍN DE LA DUQUESA
00663500;CALLE;DE;SAN CIRILO;00676000;CALLE;DE;SAN LEANDRO;609700;CALLE;DEL;PRIMERO DE OCTUBRE
00663600;CALLE;DE;SAN CLAUDIO;00554750;AVENIDA;DE;PABLO NERUDA;624825;AVENIDA;DE;RAFAEL ALBERTI
00663700;CALLE;DE;SAN CLEMENTE;00433500;CALLE;DEL;CAMINO VIEJO DE LEGANÉS;329000;CALLE;DE;CLARA CAMPOAMOR
00663704;PASAJE;DE;SAN CLEMENTE;00663700;CALLE;DE;SAN CLEMENTE;99000001;LUGAR;;FONDO DE SACO
00663800;CALLE;DE;SAN CLODOALDO;00399000;CALLE;DE;JOSÉ BARBASTRE;484400;AVENIDA;DEL;MARQUÉS DE CORBERA
00663900;CALLE;DE;SAN CONRADO;00468400;AVENIDA;DEL;MANZANARES;270500;PASEO;DE LA;ERMITA DEL SANTO
